Region, Places reporting cases, Confirmed cases, Deaths 
Asia, China, 80908, 3161
Asia, Iran, 8042, 291
Asia, South Korea, 7755, 60
Asia, Japan, 568, 12
Asia, Singapore, 166, 0
Asia, Malaysia, 129, 0
Asia, Bahrain, 110, 0
Asia, United Arab Emirates, 74, 0
Asia, Israel, 70, 0
Asia, Kuwait, 69, 0
Asia, Iraq, 61, 6
Asia, Thailand, 59, 1
Asia, India, 50, 0
Asia, Taiwan, 48, 1
Asia, Lebanon, 41, 1
Asia, Vietnam, 35, 0
Asia, Philippines, 33, 1
Asia, Palestine, 29, 0
Asia, Qatar, 24, 0
Asia, Saudi Arabia, 20, 0
Asia, Indonesia, 19, 0
Asia, Oman, 18, 0
Asia, Pakistan, 16, 0
Asia, Afghanistan, 7, 0
Asia, Maldives, 6, 0
Asia, Bangladesh, 3, 0
Asia, Cambodia, 2, 0
Asia, Brunei Darussalam, 1, 0
Asia, Nepal, 1, 0
Asia, Mongolia, 1, 0
Asia, Jordan, 1, 0
Asia, Sri Lanka, 1, 0
Asia, Bhutan, 1, 0
Europe, Italy, 10149, 631
Europe, France, 1784, 33
Europe, Spain, 1639, 35
Europe, Germany, 1296, 2
Europe, Switzerland, 490, 3
Europe, Netherlands, 382, 4
Europe, United Kingdom, 373, 6
Europe, Sweden, 326, 0
Europe, Norway, 277, 0
Europe, Belgium, 267, 0
Europe, Denmark, 264, 0
Europe, Austria, 182, 0
Europe, Greece, 90, 0
Europe, Iceland, 70, 0
Europe, Czech Republic, 63, 0
Europe, San Marino, 62, 2
Europe, Portugal, 41, 0
Europe, Finland, 40, 0
Europe, Ireland, 35, 0
Europe, Slovenia, 31, 0
Europe, Romania, 25, 0
Europe, Georgia, 23, 0
Europe, Poland, 22, 0
Europe, Russia, 20, 0
Europe, Croatia, 13, 0
Europe, Estonia, 13, 0
Europe, Hungary, 12, 0
Europe, Azerbaijan, 11, 0
Europe, Albania, 10, 0
Europe, Belarus, 9, 0
Europe, Latvia, 8, 0
Europe, Slovakia, 7, 0
Europe, North Macedonia, 7, 0
Europe, Luxembourg, 7, 0
Europe, Serbia, 5, 0
Europe, Malta, 4, 0
Europe, Bulgaria, 4, 0
Europe, Moldova, 3, 0
Europe, Lithuania, 3, 0
Europe, Bosnia and Herzegovina, 2, 0
Europe, Cyprus, 2, 0
Europe, Ukraine, 1, 0
Europe, Andorra, 1, 0
Europe, Holy See, 1, 0
Europe, Armenia, 1, 0
Europe, Monaco, 1, 0
Europe, Liechtenstein, 1, 0
America, United States of America, 1025, 28
America, Canada, 93, 1
America, Brazil, 34, 0
America, Argentina, 19, 1
America, Chile, 17, 0
America, Ecuador, 17, 0
America, Costa Rica, 13, 0
America, Peru, 11, 0
America, Panama, 7, 1
America, Mexico, 7, 0
America, Paraguay, 5, 0
America, Dominican Republic, 5, 0
America, Colombia, 3, 0
Other, Cases on an international conveyance Japan, 696, 7
Oceania, Australia, 112, 3
Oceania, New Zealand, 5, 0
Africa, Egypt, 59, 1
Africa, Algeria, 20, 0
Africa, South Africa, 7, 0
Africa, Tunisia, 5, 0
Africa, Senegal, 4, 0
Africa, Morocco, 2, 0
Africa, Burkina Faso, 2, 0
Africa, Nigeria, 2, 0
Africa, Cameroon, 2, 0
Africa, Democratic Republic of the Congo, 1, 0
Africa, Togo, 1, 0
 , Total, 118619, 4292
