County,State,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Albany, NEW YORK, 42.5986896, -73.9843997, 426, 8, 0
Allegany, NEW YORK, 42.2446061, -78.0419281, 26, 1, 0
Broome, NEW YORK, 42.1455623, -75.8404114, 112, 6, 24
Cattaraugus, NEW YORK, 42.2234823, -78.6477096, 18, 0, 3
Cayuga, NEW YORK, 42.8093409, -76.5700777, 27, 2, 5
Chautauqua, NEW YORK, 42.2894671, -79.421728, 23, 3, 12
Chemung, NEW YORK, 42.1384667, -76.7725493, 59, 1, 4
Chenango, NEW YORK, 42.4784565, -75.6130279, 60, 0, 7
Clinton, NEW YORK, 44.7278943, -73.6686982, 43, 0, 7
Columbia, NEW YORK, 42.2415027, -73.6723456, 74, 4, 32
Cortland, NEW YORK, 42.5842136, -76.0704906, 20, 1, 16
Delaware, NEW YORK, 42.194917, -75.0016302, 39, 1, 7
Dutchess, NEW YORK, 41.7194303, -73.7516205, 1598, 22, 104
Erie, NEW YORK, 42.7164263, -78.7620327, 1506, 54, 430
Essex, NEW YORK, 44.0638879, -73.7542043, 10, 0, 0
Franklin, NEW YORK, 44.5599139, -74.3273735, 11, 0, 0
Fulton, NEW YORK, 43.1061507, -74.4461771, 18, 2, 0
Genesee, NEW YORK, 43.0102726, -78.1780196, 65, 1, 0
Greene, NEW YORK, 42.2628769, -74.0878112, 34, 0, 14
Hamilton, NEW YORK, 43.6307863, -74.4659275, 3, 0, 0
Herkimer, NEW YORK, 43.4911326, -74.9481252, 36, 3, 0
Jefferson, NEW YORK, 44.059311, -75.9995742, 43, 0, 9
Lewis, NEW YORK, 43.7344277, -75.440289, 6, 3, 0
Livingston, NEW YORK, 42.7360902, -77.7781416, 34, 3, 15
Madison, NEW YORK, 42.875882, -75.6802581, 105, 3, 77
Monroe, NEW YORK, 43.150094, -77.6810141, 742, 44, 341
Montgomery, NEW YORK, 42.8941269, -74.4099745, 29, 2, 0
Nassau, NEW YORK, 40.7412643, -73.5877699, 21512, 723, 232
Niagara, NEW YORK, 43.2042439, -78.7676017, 166, 4, 51
Oneida, NEW YORK, 43.2144051, -75.4039155, 172, 2, 30
Onondaga, NEW YORK, 43.015598, -76.2257127, 456, 7, 176
Ontario, NEW YORK, 42.8580624, -77.295025, 51, 0, 0
Orange, NEW YORK, 41.3873306, -74.2507287, 4640, 132, 0
Orleans, NEW YORK, 43.2244513, -78.2272835, 24, 0, 0
Oswego, NEW YORK, 43.4112973, -76.1279841, 42, 2, 20
Otsego, NEW YORK, 42.5984272, -75.0142701, 41, 2, 9
Putnam, NEW YORK, 41.426996, -73.760156, 487, 22, 0
Rensselaer, NEW YORK, 42.7091389, -73.5107732, 112, 5, 37
Rockland, NEW YORK, 41.1519319, -74.0357266, 7122, 172, 1
Saratoga, NEW YORK, 43.0833231, -73.8712155, 182, 5, 0
Schenectady, NEW YORK, 42.831851, -74.0445388, 191, 7, 21
Schoharie, NEW YORK, 42.5757217, -74.4390277, 12, 0, 0
Schuyler, NEW YORK, 42.3899705, -76.8744093, 5, 0, 2
Seneca, NEW YORK, 42.7831619, -76.8386051, 15, 0, 0
St. Lawrence, NEW YORK, 44.4973591, -75.0657043, 78, 1, 0
Steuben, NEW YORK, 42.2359045, -77.3750862, 117, 5, 30
Suffolk, NEW YORK, 40.8832318, -72.8578027, 18980, 414, 449
Sullivan, NEW YORK, 41.7156311, -74.7804323, 318, 6, 0
Tioga, NEW YORK, 42.1333395, -76.3309339, 18, 0, 0
Tompkins, NEW YORK, 42.443114, -76.4725921, 112, 0, 82
Ulster, NEW YORK, 41.8689317, -74.2618518, 530, 9, 0
Warren, NEW YORK, 43.5018687, -73.8164637, 43, 0, 0
Washington, NEW YORK, 43.2294536, -73.4471343, 26, 1, 7
Wayne, NEW YORK, 43.1500557, -77.0377603, 41, 0, 12
Westchester, NEW YORK, 41.1763139, -73.7907554, 18077, 389, 4376
Wyoming, NEW YORK, 42.7039813, -78.2415228, 30, 1, 5
Yates, NEW YORK, 42.6444444, -77.112177, 2, 0, 1
New York City, NEW YORK, 40.7127281, -74.0060152, 94409, 5820, 9736
