County,State,fips,Latitude,Longitude,Confirmed Cases
Anchor Point,ALASKA,02122,59.76826, -151.677552,1
Bethel,ALASKA,02050,60.392415, -162.3134907,1
Chugiak(Anchorage),ALASKA,02020,61.3904227, -149.4817876,3
Craig,ALASKA,02201,55.4763889, -133.1483333,2
Delta Junction,ALASKA,02240,64.0373478, -145.7321572,1
Eagle River(Anchorage),ALASKA,02020,61.31351, -149.6941565,7
Fairbanks/Kodiak,ALASKA,02090,64.837845, -147.716675,64
Girdwood(Anchorage),ALASKA,02020,60.9425, -149.1663889,140
Homer,ALASKA,02122,59.6440876, -151.5401477,2
Juneau,ALASKA,02110,58.3019496, -134.419734,24
Kenai,ALASKA,02122,60.5544444, -151.2583333,4
Ketchikan,ALASKA,02130,55.3430696, -131.6466819,15
Nome,ALASKA,02170,61.5995703, -149.1110902,1
North Pole,ALASKA,02195,56.8127965, -132.95547,15
Palmer,ALASKA,02122,60.104202, -149.4426113,6
Petersburg,ALASKA,02122,60.4847228, -151.0653495,2
Seward,ALASKA,02122,60.536235, -150.8564776,3
Soldotna,ALASKA,02290,65.2266005, -153.5472287,4
Sterling,ALASKA,02170,61.5824216, -149.4425638,3
Aleutians East,ALASKA,02013,,,
Aleutians West,ALASKA,02016,,,
Denali,ALASKA,02068,,,
Dillingham,ALASKA,02070,,,
Haines,ALASKA,02100,,,
Kodiak Island,ALASKA,02150,,,
Lake and Peninsula,ALASKA,02164,,,
Nome,ALASKA,02180,,,
Northwest Attic,ALASKA,02188,,,
Sitka,ALASKA,02220,,,
Skagway,ALASKA,02230,,,
Valdez-Cordova,ALASKA,02261,,,
Kusilvak,ALASKA,02158,,,
Wrangell,ALASKA,02275,,,
Yakutat,ALASKA,02282,,,
