County,State,fips,Latitude,Longitude,Confirmed Cases
Anchorage,ALASKA,02020,61.2163129,-149.8948523,
Anchor Point,ALASKA,02122,59.76826,-151.67755197505488,1
Bethel,ALASKA,02050,60.7922222,-161.7558333,1
Chugiak,ALASKA,02020,61.3904227,-149.4817876,3
Craig,ALASKA,02201,55.4763889,-133.1483333,1
Delta Junction,ALASKA,02240,64.0373478,-145.7321572,1
Eagle River,ALASKA,02020,61.2971518,-149.5087177,7
Fairbanks,ALASKA,02090,64.837845,-147.716675,63
Fairbanks-North Star Borough, other,ALASKA,02020,60.9425,-149.1663889,1
Girdwood,ALASKA,02122,59.6440876,-151.5401477,2
Homer,ALASKA,02110,58.3019496,-134.419734,2
Juneau,ALASKA,02122,60.5544444,-151.2583333,16
Kenai,ALASKA,02130,55.3430696,-131.6466819,3
Ketchikan,ALASKA,02090,64.750997,-147.349319,15
North Pole,ALASKA,02170,61.5995703,-149.1110902,15
Palmer,ALASKA,02195,56.8127965,-132.95547,6
Petersburg,ALASKA,02122,60.104202,-149.4426113,2
Seward,ALASKA,02122,60.4847228,-151.0653495,3
Soldotna,ALASKA,02122,60.536235,-150.85647760696855,3
Sterling,ALASKA,02290,65.22660049999999,-153.5472287159873,2
Yukon-Koyukuk Census Area,ALASKA,02170,61.5824216,-149.4425638,1
Aleutians East,ALASKA,02013,,,
Aleutians West,ALASKA,02016,,,
Denali,ALASKA,02068,,,
Dillingham,ALASKA,02070,,,
Haines,ALASKA,02100,,,
Kodiak Island,ALASKA,02150,,,
Lake and Peninsula,ALASKA,02164,,,
Nome,ALASKA,02180,,,
Northwest Attic,ALASKA,02188,,,
Sitka,ALASKA,02220,,,
Skagway,ALASKA,02230,,,
Valdez-Cordova,ALASKA,02261,,,
Kusilvak,ALASKA,02158,,,
Wrangell,ALASKA,02275,,,
Yakutat,ALASKA,02282,,,
