County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Clay,ALABAMA,01027,33.6999039, -86.6019841,21,1
Lauderdale,ALABAMA,01077,34.9049555, -87.6747398,56,2
Blount,ALABAMA,01009,33.9510169, -86.5702002,40,0
Fayette,ALABAMA,01057,33.7303493, -87.7419088,6,0
Lamar,ALABAMA,01075,33.7490016, -88.1003689,11,0
Henry,ALABAMA,01067,31.4838041, -85.2447377,26,1
Tallapoosa,ALABAMA,01123,32.8595687, -85.8023774,290,18
Baldwin,ALABAMA,01003,30.5677527, -87.7324392,181,4
Clarke,ALABAMA,01025,31.659134, -87.8192486,38,1
Conecuh,ALABAMA,01035,31.3966783, -86.9437104,9,0
Franklin,ALABAMA,01059,34.440962, -87.8339064,100,0
Hale,ALABAMA,01065,32.7412417, -87.6561668,52,2
Covington,ALABAMA,01039,31.196549, -86.4597236,43,1
Houston,ALABAMA,01069,31.1355603, -85.2654592,93,4
Lowndes,ALABAMA,01085,32.1088066, -86.6402541,70,1
Macon,ALABAMA,01087,32.366606, -85.6660307,38,2
Calhoun,ALABAMA,01015,33.7514505, -85.8315666,98,3
Chambers,ALABAMA,01017,32.8901658, -85.3866953,294,21
