County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Arkansas,ARKANSAS,05001,34.2902454, -91.3598511,2,0,1
Ashley,ARKANSAS,05003,33.1742582, -91.7295595,12,0,0
Baxter,ARKANSAS,05005,36.2820691, -92.3445222,5,0,1
Benton,ARKANSAS,05007,36.3456186, -94.2670404,66,0,41
Boone,ARKANSAS,05009,36.2829183, -93.0784759,3,0,2
Bradley,ARKANSAS,05011,33.4494147, -92.16876,7,1,3
Calhoun,ARKANSAS,05013,33.5556787, -92.5143633,0,0,0
Carroll,ARKANSAS,05015,36.3386737, -93.5093048,2,0,1
Chicot,ARKANSAS,05017,33.2536665, -91.3026986,7,0,2
Clark,ARKANSAS,05019,34.0541966, -93.198963,27,0,15
Clay,ARKANSAS,05021,36.3609902, -90.4087659,1,0,0
Cleburne,ARKANSAS,05023,35.5298937, -92.0312818,71,4,51
Cleveland,ARKANSAS,05025,33.8847138, -92.1724506,8,0,7
Columbia,ARKANSAS,05027,33.1938586, -93.2344337,5,0,2
Conway,ARKANSAS,05029,35.2521996, -92.6888936,5,1,3
Craighead,ARKANSAS,05031,35.8348413, -90.6441144,45,1,28
Crawford,ARKANSAS,05033,35.5803044, -94.2684622,4,0,2
Crittenden,ARKANSAS,05035,35.2505701, -90.3192299,145,5,55
Cross,ARKANSAS,05037,35.3001216, -90.7750181,8,0,4
Dallas,ARKANSAS,05039,33.9630776, -92.6853662,1,0,1
Desha,ARKANSAS,05041,33.7740219, -91.3110517,7,0,1
Drew,ARKANSAS,05043,33.5716907, -91.7160969,6,1,4
Faulkner,ARKANSAS,05045,35.1470851, -92.3219053,62,2,43
Franklin,ARKANSAS,05047,35.5110075, -93.8864847,1,0,0
Fulton,ARKANSAS,05049,36.3783981, -91.8110982,0,0,0
Garland,ARKANSAS,05051,34.5488944, -93.1838539,109,0,62
Grant,ARKANSAS,05053,34.2773864, -92.420578,11,0,7
Greene,ARKANSAS,05055,36.091803, -90.5778883,9,0,3
Hempstead,ARKANSAS,05057,33.6949319, -93.6929825,5,1,2
Hot Spring,ARKANSAS,05059,34.2956351, -92.9005742,8,0,5
Howard,ARKANSAS,05061,34.0744088, -93.9745776,14,0,7
Independence,ARKANSAS,05063,35.718344, -91.55326,8,0,4
Izard,ARKANSAS,05065,36.0832532, -91.8894787,2,0,2
Jackson,ARKANSAS,05067,35.5770886, -91.196742,1,0,1
Jefferson,ARKANSAS,05069,34.2711667, -91.9248307,126,7,45
Johnson,ARKANSAS,05071,35.5600697, -93.4550108,22,0,12
Lafayette,ARKANSAS,05073,33.1821484, -93.5972459,4,0,3
Lawrence,ARKANSAS,05075,36.0078212, -91.1655476,26,1,1
Lee,ARKANSAS,05077,34.7836833, -90.7759619,3,1,1
Lincoln,ARKANSAS,05079,33.9359663, -91.7713274,258,0,5
Little River,ARKANSAS,05081,33.6968793, -94.2065398,0,0,0
Logan,ARKANSAS,05083,35.2255171, -93.7233321,3,0,1
Lonoke,ARKANSAS,05085,34.7414404, -91.862792,26,0,17
Madison,ARKANSAS,05087,35.9728095, -93.7589024,1,0,0
Marion,ARKANSAS,05089,36.2378521, -92.6999559,1,0,0
Miller,ARKANSAS,05091,33.2766729, -93.9214795,30,0,14
Mississippi,ARKANSAS,05093,35.7547987, -90.0875933,9,0,6
Monroe,ARKANSAS,05095,34.6778982, -91.2289578,4,0,2
Montgomery,ARKANSAS,05097,34.5218805, -93.6508234,0,0,0
Nevada,ARKANSAS,05099,33.6413476, -93.3055491,1,0,1
Newton,ARKANSAS,05101,35.918468, -93.2273047,2,0,2
Ouachita,ARKANSAS,05103,33.5680929, -92.9355875,5,0,5
Perry,ARKANSAS,05105,34.9616474, -92.8757514,3,0,2
Phillips,ARKANSAS,05107,34.4427373, -90.8331287,4,1,1
Pike,ARKANSAS,05109,35.2048883, -92.4479108,2,0,2
Poinsett,ARKANSAS,05111,35.5730183, -90.6717121,10,0,5
Polk,ARKANSAS,05113,34.4995799, -94.2397116,7,0,4
Pope,ARKANSAS,05115,35.453867, -93.0498623,35,0,18
Prairie,ARKANSAS,05117,34.8105247, -91.5751148,2,0,1
Pulaski,ARKANSAS,05119,34.7550166, -92.3003472,390,12,144
Randolph,ARKANSAS,05121,36.3412315, -91.0387017,14,0,8
Saline,ARKANSAS,05125,34.6021249, -92.6542869,45,1,24
Scott,ARKANSAS,05127,34.8469384, -94.0431714,1,0,1
Searcy,ARKANSAS,05129,35.9018987, -92.7098744,6,0,2
Sebastian,ARKANSAS,05131,35.1770785, -94.2654285,11,0,10
Sevier,ARKANSAS,05133,33.9867858, -94.243888,10,0,6
Sharp,ARKANSAS,05135,36.1344424, -91.4930274,2,0,1
St. Francis,ARKANSAS,05123,35.0153956, -90.7263194,65,0,4
Stone,ARKANSAS,05137,35.8317159, -92.1747633,7,0,6
Union,ARKANSAS,05139,33.1637366, -92.6171029,26,0,10
Van Buren,ARKANSAS,05141,35.5759086, -92.4916144,26,2,21
Washington,ARKANSAS,05143,35.9672625, -94.2280656,59,0,34
White,ARKANSAS,05145,35.2463042, -91.7169687,29,1,15
Woodruff,ARKANSAS,05147,35.1714574, -91.2229851,1,0,0
Yell,ARKANSAS,05149,34.9906072, -93.4283105,2,0,1
Missing county information,ARKANSAS,05,35.2048883, -92.4479108,45,0,4
