County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Los Angeles,CALIFORNIA,06037,34.0536909, -118.2427666,9420,320,0
San Diego,CALIFORNIA,06073,32.7174209, -117.1627714,1847,47,0
Riverside,CALIFORNIA,06065,33.9533546, -117.3961623,1751,50,297
Santa Clara,CALIFORNIA,06085,37.2333253, -121.6846349,1666,60,0
Orange,CALIFORNIA,06059,33.7500378, -117.8704931,1283,19,0
San Bernardino,CALIFORNIA,06071,34.8253019, -116.0833144,977,31,0
San Francisco,CALIFORNIA,06075,37.7790262, -122.4199061,957,15,0
Alameda,CALIFORNIA,06001,37.6090291, -121.899142,886,23,-
Sacramento,CALIFORNIA,06067,38.5810606, -121.4938951,739,27,0
San Mateo,CALIFORNIA,06081,37.496904, -122.3330573,701,21,0
Contra Costa,CALIFORNIA,06013,37.9034806, -121.9175345,552,11,0
Kern,CALIFORNIA,06029,35.3145701, -118.7538222,446,3,0
Ventura,CALIFORNIA,06111,34.4458248, -119.0779359,317,10,133
San Joaquin,CALIFORNIA,06077,37.9372901, -121.2773719,309,17,0
Santa Barbara,CALIFORNIA,06083,34.4221319, -119.7026673,284,2,109
Tulare,CALIFORNIA,06107,36.2516475, -118.852583,264,13,15
Fresno,CALIFORNIA,06019,36.7295295, -119.7088613,222,5,37
Marin,CALIFORNIA,06041,38.0409144, -122.6199638,170,10,0
Sonoma,CALIFORNIA,06097,38.5110803, -122.8473388,147,2,61
Stanislaus,CALIFORNIA,06099,37.5500871, -121.0501425,146,2,77
Solano,CALIFORNIA,06095,38.2218938, -121.9163555,135,2,0
Placer,CALIFORNIA,06061,39.1012064, -120.7650606,127,5,0
San Luis Obispo,CALIFORNIA,06079,35.3540209, -120.3757163,117,1,95
Yolo,CALIFORNIA,06113,38.7184542, -121.9059001,101,4,0
Imperial,CALIFORNIA,06025,33.0305487, -115.3595666,100,3,26
Santa Cruz,CALIFORNIA,06087,37.050096, -121.9905908,91,1,37
Monterey,CALIFORNIA,06053,36.2231079, -121.3877428,87,3,18
Merced,CALIFORNIA,06047,37.1641544, -120.7678602,69,3,18
Humboldt,CALIFORNIA,06023,40.5997415, -123.8997734,50,0,0
San Benito,CALIFORNIA,06069,36.6248089, -121.1177379,38,2,28
El Dorado,CALIFORNIA,06017,38.7574137, -120.5276129,34,0,23
Napa,CALIFORNIA,06055,38.2971367, -122.2855293,34,2,0
Nevada,CALIFORNIA,06057,39.3540335, -120.8089843,34,1,0
Madera,CALIFORNIA,06039,37.1716264, -119.7737991,33,2,11
Shasta,CALIFORNIA,06089,40.7965121, -121.9979194,25,3,6
Mono,CALIFORNIA,06051,37.9533927, -118.9398758,23,1,0
Sutter,CALIFORNIA,06101,38.9509675, -121.697088,22,2,1
Yuba,CALIFORNIA,06115,39.2839755, -121.3556818,15,1,6
Butte,CALIFORNIA,06007,39.6519275, -121.5858444,15,0,0
Inyo,CALIFORNIA,06027,36.5595325, -117.4074712,12,0,0
Kings,CALIFORNIA,06031,36.0784807, -119.7956342,12,1,3
Calaveras,CALIFORNIA,06009,38.2558181, -120.4981492,9,0,6
Amador,CALIFORNIA,06005,38.449089, -120.5911018,7,0,4
Siskiyou,CALIFORNIA,06093,41.5007223, -122.5443541,5,0,3
Glenn,CALIFORNIA,06021,39.5912766, -122.3778662,4,0,2
Lake,CALIFORNIA,06033,36.7014631, -118.7559974,4,0,0
Mendocino,CALIFORNIA,06045,39.3176491, -123.4126399,4,0,4
Plumas,CALIFORNIA,06063,39.9430988, -120.8059521,4,0,1
Colusa,CALIFORNIA,06011,39.1465578, -122.2209563,3,0,0
Del Norte,CALIFORNIA,06015,41.7261767, -123.91328,2,0,0
Alpine,CALIFORNIA,06003,38.5893934, -119.8345013,1,0,1
Tehama,CALIFORNIA,06103,40.1251334, -122.2015529,1,0,0
Tuolumne,CALIFORNIA,06109,38.056944, -119.9919351,1,0,0
