County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Fulton,GEORGIA,13121,34.0580391, -84.2961283,1916 ,63 
Dougherty,GEORGIA,13095,31.5426984, -84.1960829,1325 ,83 
Dekalb,GEORGIA,13089,33.7575613, -84.2186508,1227 ,17 
Cobb,GEORGIA,13067,33.9373948, -84.5732006,967 ,44 
Gwinnett,GEORGIA,13135,33.9566869, -84.0227467,886 ,32 
Clayton,GEORGIA,13063,33.5204959, -84.3591713,462 ,13 
Hall,GEORGIA,13139,34.2905901, -83.8194028,402 ,5 
Henry,GEORGIA,13151,33.4519942, -84.1367771,328 ,5 
Sumter,GEORGIA,13261,32.0485072, -84.1862464,276 ,13 
Lee,GEORGIA,13177,31.7620158, -84.1346212,264 ,15 
Carroll,GEORGIA,13045,33.5588005, -85.0641272,243 ,7 
Bartow,GEORGIA,13015,34.2394683, -84.8406984,237 ,20 
Cherokee,GEORGIA,13057,34.2391265, -84.4720272,232 ,8 
Douglas,GEORGIA,13097,33.6995565, -84.7622973,201 ,6 
Muscogee,GEORGIA,13215,32.4840651, -84.8502167,185 ,4 
Mitchell,GEORGIA,13205,31.260569, -84.179674,177 ,21 
Richmond,GEORGIA,13245,33.385076, -82.0920796,177 ,8 
Chatham,GEORGIA,13051,31.9668887, -81.0626008,160 ,5 
Forsyth,GEORGIA,13117,34.235309, -84.1335644,158 ,5 
Houston,GEORGIA,13153,32.4659752, -83.631394,152 ,9 
Early,GEORGIA,13099,31.3466656, -84.9350894,145 ,6 
Coweta,GEORGIA,13077,33.3500656, -84.7545734,139 ,3 
Upson,GEORGIA,13293,32.8641062, -84.2904968,139 ,5 
Terrell,GEORGIA,13273,31.7615999, -84.4410234,137 ,11 
Randolph,GEORGIA,13243,31.7620266, -84.7468429,133 ,7 
Fayette,GEORGIA,13113,33.3899269, -84.4953763,122 ,5 
Floyd,GEORGIA,13115,34.2421984, -85.2229248,120 ,6 
Paulding,GEORGIA,13223,33.8908526, -84.8569161,118 ,5 
Newton,GEORGIA,13217,33.5715512, -83.8446101,113 ,3 
Bibb,GEORGIA,13021,32.8095879, -83.694562,112 ,1 
Worth,GEORGIA,13321,31.524179, -83.8712801,112 ,4 
Thomas,GEORGIA,13275,30.8686259, -83.9471866,109 ,9 
Rockdale,GEORGIA,13247,33.6430283, -84.0322064,107 ,6 
Clarke,GEORGIA,13059,33.9404278, -83.373049,102 ,12 
Spalding,GEORGIA,13255,33.2591296, -84.2770865,97 ,5 
Baldwin,GEORGIA,13009,33.0869398, -83.2633216,93 ,2 
Crisp,GEORGIA,13081,31.9152265, -83.77777,93 ,1 
Colquitt,GEORGIA,13071,31.1803601, -83.7696152,91 ,5 
Columbia,GEORGIA,13073,33.5313102, -82.2563979,81 ,0 
Tift,GEORGIA,13277,31.458746, -83.5179242,76 ,2 
Lowndes,GEORGIA,13185,30.8195619, -83.2628255,75 ,3 
Troup,GEORGIA,13285,33.0237625, -85.0254022,72 ,4 
Ware,GEORGIA,13299,31.1727229, -82.4829338,69 ,6 
Barrow,GEORGIA,13013,33.9848611, -83.6996482,68 ,3 
Coffee,GEORGIA,13069,31.5301809, -82.8405691,65 ,3 
Calhoun,GEORGIA,13037,31.5311784, -84.614328,59 ,2 
Dooly,GEORGIA,13093,32.1542383, -83.8253817,58 ,4 
Walton,GEORGIA,13297,33.762884, -83.740416,54 ,3 
Decatur,GEORGIA,13087,30.8736613, -84.5740953,51 ,0 
Gordon,GEORGIA,13129,34.5019651, -84.8986308,48 ,5 
Pierce,GEORGIA,13229,31.3430068, -82.2352189,48 ,2 
Turner,GEORGIA,13287,31.7031592, -83.6214408,46 ,1 
Glynn,GEORGIA,13127,31.2171726, -81.5012681,44 ,0 
Habersham,GEORGIA,13137,34.6270741, -83.5016755,44 ,2 
Oconee,GEORGIA,13219,33.829579, -83.4275918,44 ,0 
Dawson,GEORGIA,13085,34.4077085, -84.1356771,37 ,2 
Macon,GEORGIA,13193,32.3421453, -84.0468847,37 ,0 
Butts,GEORGIA,13035,33.2825083, -83.9548161,36 ,0 
Jackson,GEORGIA,13157,34.1282559, -83.5753386,36 ,1 
Laurens,GEORGIA,13175,32.4239975, -82.9388938,35 ,1 
Greene,GEORGIA,13133,33.5492988, -83.1660939,34 ,1 
Burke,GEORGIA,13033,33.0482247, -81.9575983,32 ,2 
Whitfield,GEORGIA,13313,34.7969288, -84.9745026,32 ,3 
Mcduffie,GEORGIA,13189,33.4631845, -82.4830204,31 ,2 
Oglethorpe,GEORGIA,13221,33.8702684, -83.1049381,31 ,1 
Bryan,GEORGIA,13029,32.0034889, -81.4241017,30 ,2 
Wilcox,GEORGIA,13315,31.960784, -83.4379708,30 ,0 
Meriwether,GEORGIA,13199,33.0373582, -84.6717803,28 ,0 
Peach,GEORGIA,13225,32.5543462, -83.8350733,28 ,2 
Harris,GEORGIA,13145,32.7251788, -84.9104641,27 ,1 
Polk,GEORGIA,13233,33.9981581, -85.1567475,27 ,0 
Camden,GEORGIA,13039,30.9298212, -81.6225075,26 ,0 
Liberty,GEORGIA,13179,31.8031632, -81.483441,26 ,0 
Pike,GEORGIA,13231,33.081484, -84.3969481,25 ,1 
Effingham,GEORGIA,13103,32.3419626, -81.338687,24 ,1 
Stephens,GEORGIA,13257,34.55119, -83.2976462,24 ,0 
Grady,GEORGIA,13131,30.867067, -84.2322943,23 ,1 
Johnson,GEORGIA,13167,32.6938608, -82.6374871,23 ,1 
Bulloch,GEORGIA,13031,32.3846338, -81.744832,22 ,1 
Washington,GEORGIA,13303,32.9619979, -82.7748026,22 ,0 
Brooks,GEORGIA,13027,30.8336559, -83.5958387,21 ,2 
Lamar,GEORGIA,13171,33.0649401, -84.1445952,21 ,0 
Haralson,GEORGIA,13143,33.7812701, -85.2001291,20 ,1 
Miller,GEORGIA,13201,31.1591063, -84.737836,19 ,0 
Seminole,GEORGIA,13253,30.951849, -84.8789094,19 ,1 
Dodge,GEORGIA,13091,32.1506514, -83.1520134,18 ,0 
Baker,GEORGIA,13007,31.3439196, -84.4555346,17 ,2 
Catoosa,GEORGIA,13047,34.8911137, -85.131315,17 ,0 
Clay,GEORGIA,13061,31.5738181, -84.9800814,17 ,2 
Marion,GEORGIA,13197,32.3473263, -84.5282597,17 ,0 
Morgan,GEORGIA,13211,33.5793193, -83.5051522,17 ,0 
Murray,GEORGIA,13213,34.7851861, -84.7352262,17 ,0 
Toombs,GEORGIA,13279,32.1296839, -82.3299928,17 ,1 
Jones,GEORGIA,13169,33.0137674, -83.5568549,15 ,0 
Wilkinson,GEORGIA,13319,32.7924994, -83.1623561,15 ,1 
Appling,GEORGIA,13001,31.7771435, -82.2996274,14 ,0 
Bacon,GEORGIA,13005,31.5555512, -82.4442559,14 ,1 
Brantley,GEORGIA,13025,31.1928547, -81.9943569,14 ,1 
Fannin,GEORGIA,13111,34.8867955, -84.2715585,14 ,0 
Monroe,GEORGIA,13207,33.0142344, -83.9044159,14 ,1 
Pickens,GEORGIA,13227,34.4630619, -84.4682402,14 ,2 
White,GEORGIA,13311,34.6322605, -83.7596041,14 ,0 
Madison,GEORGIA,13195,34.1307533, -83.1817407,13 ,1 
Schley,GEORGIA,13249,32.2478949, -84.3175516,13 ,1 
Talbot,GEORGIA,13263,32.6984691, -84.505404,13 ,1 
Walker,GEORGIA,13295,34.7418605, -85.3209686,13 ,0 
Irwin,GEORGIA,13155,31.5730108, -83.2624513,12 ,0 
Jenkins,GEORGIA,13165,32.7793141, -81.9613566,12 ,1 
Crawford,GEORGIA,13079,32.7212675, -83.9825337,11 ,0 
Lumpkin,GEORGIA,13187,34.5546076, -83.9926806,11 ,0 
Pulaski,GEORGIA,13235,32.2330518, -83.4674404,11 ,1 
Putnam,GEORGIA,13237,33.3231504, -83.3414172,11 ,0 
Telfair,GEORGIA,13271,31.9182328, -82.9339377,11 ,0 
Ben Hill,GEORGIA,13017,31.7462726, -83.2355879,10 ,0 
Jasper,GEORGIA,13159,33.3254635, -83.6868559,10 ,0 
Screven,GEORGIA,13251,32.7623379, -81.6272037,10 ,1 
Banks,GEORGIA,13011,34.3378598, -83.4970026,9 ,0 
Chattooga,GEORGIA,13055,34.4620931, -85.3660518,9 ,1 
Cook,GEORGIA,13075,31.1455115, -83.4331569,9 ,0 
Emanuel,GEORGIA,13107,32.6078163, -82.2922815,9 ,0 
Jefferson,GEORGIA,13163,33.0380388, -82.436141,9 ,1 
Lincoln,GEORGIA,13181,33.7876673, -82.4508165,9 ,0 
Stewart,GEORGIA,13259,32.0732743, -84.8483149,9 ,0 
Taylor,GEORGIA,13269,32.556921, -84.2395154,9 ,2 
Wilkes,GEORGIA,13317,33.7898432, -82.7385978,9 ,0 
Berrien,GEORGIA,13019,31.2561376, -83.2443709,8 ,0 
Towns,GEORGIA,13281,34.8971655, -83.7182775,8 ,0 
Union,GEORGIA,13291,34.8180274, -83.9903969,8 ,1 
Warren,GEORGIA,13301,33.4120461, -82.694643,8 ,0 
Clinch,GEORGIA,13065,30.8938781, -82.6923467,7 ,0 
Elbert,GEORGIA,13105,34.1194318, -82.8408412,7 ,0 
Franklin,GEORGIA,13119,34.3678642, -83.2156575,7 ,0 
Gilmer,GEORGIA,13123,34.6859788, -84.452696,7 ,0 
Rabun,GEORGIA,13241,34.8796123, -83.4251357,7 ,0 
Dade,GEORGIA,13083,34.8722084, -85.4998791,6 ,1 
Hancock,GEORGIA,13141,33.259656, -82.9988137,6 ,0 
Wayne,GEORGIA,13305,31.5675304, -81.9131554,6 ,0 
Charlton,GEORGIA,13049,30.8775388, -82.1185847,5 ,0 
Chattahoochee,GEORGIA,13053,32.3320278, -84.7939799,5 ,0 
Hart,GEORGIA,13147,34.3410525, -82.9503277,5 ,0 
Heard,GEORGIA,13149,33.2786225, -85.113782,5 ,1 
Lanier,GEORGIA,13173,31.029016, -83.0768357,5 ,1 
Tattnall,GEORGIA,13267,32.0252793, -82.0580692,5 ,0 
Candler,GEORGIA,13043,32.4146577, -82.0930776,4 ,0 
Twiggs,GEORGIA,13289,32.6467914, -83.4351636,4 ,0 
Bleckley,GEORGIA,13023,32.4305311, -83.3311795,3 ,0 
Echols,GEORGIA,13101,30.6968025, -82.9078762,3 ,0 
Jeff Davis,GEORGIA,13161,31.774687, -82.6800732,3 ,0 
Mcintosh,GEORGIA,13191,31.4979689, -81.3921575,3 ,0 
Quitman,GEORGIA,13239,31.8769847, -85.0154412,3 ,1 
Webster,GEORGIA,13307,32.050618, -84.5473105,3 ,0 
Wheeler,GEORGIA,13309,32.112996, -82.7567324,3 ,0 
Atkinson,GEORGIA,13003,31.3030105, -82.8839362,2 ,0 
Evans,GEORGIA,13109,32.1613648, -81.8980725,2 ,0 
Long,GEORGIA,13183,31.7704898, -81.753725,2 ,0 
Montgomery,GEORGIA,13209,32.0839135, -82.539273,2 ,0 
Treutlen,GEORGIA,13283,32.396098, -82.5666186,1 ,0 
Unknown,GEORGIA,13,32.3293809,-83.1137366,179,0
