County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Ada,IDAHO,16001,43.4136539, -116.2367421,589,622
Adams,IDAHO,16003,44.8677448, -116.4572399,3,3
Bannock,IDAHO,16005,42.6936188, -112.2506044,5,8
Bingham,IDAHO,16011,43.1881598, -112.3598354,3,3
Blaine,IDAHO,16013,43.3336455, -113.8808311,473,480
Bonner,IDAHO,16017,48.2663565, -116.5952716,4,4
Bonneville,IDAHO,16019,43.3993844, -111.4752257,16,24
Camas,IDAHO,16025,43.4064019, -114.8070143,1,1
Canyon,IDAHO,16027,43.6435692, -116.7017144,202,212
Caribou,IDAHO,16029,42.780196, -111.6052607,1,1
Cassia,IDAHO,16031,42.2219306, -113.5777087,11,11
Custer,IDAHO,16037,44.2339362, -114.2286662,2,2
Elmore,IDAHO,16039,43.3073766, -115.5411027,23,25
Fremont,IDAHO,16043,44.2309391, -111.4218314,2,2
Gem,IDAHO,16045,44.0123019, -116.3846609,9,10
Gooding,IDAHO,16047,43.0031041, -114.8286924,7,8
Idaho,IDAHO,16049,45.7680684, -115.5160723,3,3
Jefferson,IDAHO,16051,43.8010248, -112.3498022,4,5
Jerome,IDAHO,16053,42.702266, -114.2867043,36,44
Kootenai,IDAHO,16055,47.654857, -116.7162916,52,53
Latah,IDAHO,16057,46.8171611, -116.693441,4,4
Lincoln,IDAHO,16063,43.0138672, -114.1650584,18,18
Madison,IDAHO,16065,43.7740801, -111.6304151,5,8
Minidoka,IDAHO,16067,42.844092, -113.6059588,7,10
Nez Perce,IDAHO,16069,46.3959861, -116.8072307,35,44
Owyhee,IDAHO,16073,42.4677336, -116.1590085,5,5
Payette,IDAHO,16075,44.0374651, -116.7651123,10,11
Power,IDAHO,16077,42.6769078, -112.8869775,2,2
Teton,IDAHO,16081,43.7647107, -111.2081469,7,8
Twin Falls,IDAHO,16083,42.5704219, -114.4603171,117,132
Valley,IDAHO,16085,43.6447642, -114.0154071,2,2
Washington,IDAHO,16087,44.3986887, -116.7400859,1,1
