County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,INDIANA,18001,40.7371667, -84.9347295,6,1
Allen,INDIANA,18003,41.0975573, -85.0562084,271,16
Bartholomew,INDIANA,18005,39.1914156, -85.8204601,130,6
Benton,INDIANA,18007,40.6034281, -87.3235164,4,0
Blackford,INDIANA,18009,40.4692826, -85.3305529,6,1
Boone,INDIANA,18011,40.0459913, -86.4650842,145,7
Brown,INDIANA,18013,39.1682855, -86.2297004,14,1
Carroll,INDIANA,18015,40.5802239, -86.5693296,6,1
Cass,INDIANA,18017,40.7808235, -86.3449159,50,1
Clark,INDIANA,18019,38.4941217, -85.7169081,151,10
Clay,INDIANA,18021,39.3864958, -87.1025862,14,0
Clinton,INDIANA,18023,40.2992769, -86.4692735,16,1
Crawford,INDIANA,18025,38.304425, -86.444022,12,0
Daviess,INDIANA,18027,38.6776099, -87.0813484,27,1
Dearborn,INDIANA,18029,39.1340338, -84.9820997,63,5
Decatur,INDIANA,18031,39.2862128, -85.4943058,165,17
DeKalb,INDIANA,18033,41.3991456, -85.001244,11,1
Delaware,INDIANA,18035,40.2193275, -85.4040612,91,5
Dubois,INDIANA,18037,38.3644324, -86.8870278,14,0
Elkhart,INDIANA,18039,41.6012796, -85.8590603,130,3
Fayette,INDIANA,18041,39.619235, -85.179378,21,4
Floyd,INDIANA,18043,38.299, -85.8933234,130,6
Fountain,INDIANA,18045,40.125252, -87.2497418,4,2
Franklin,INDIANA,18047,39.4149034, -85.0563234,87,7
Fulton,INDIANA,18049,41.0421416, -86.2875206,4,0
Gibson,INDIANA,18051,38.3079744, -87.5775949,4,0
Grant,INDIANA,18053,40.5114735, -85.6540606,47,2
Greene,INDIANA,18055,39.0227107, -86.9958489,37,3
Hamilton,INDIANA,18057,40.0749813, -86.0498885,542,31
Hancock,INDIANA,18059,39.8127873, -85.7874738,132,6
Harrison,INDIANA,18061,38.1816187, -86.1066917,65,2
