County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Fayette,KENTUCKY,21067,None,[206],[7],[]
Harrison,KENTUCKY,21097,None,[16],[],[]
Jefferson,KENTUCKY,21111,None,[573],[49],[]
Montgomery,KENTUCKY,21173,None,[8],[],[]
Bourbon,KENTUCKY,21017,None,[4],[1],[]
Nelson,KENTUCKY,21179,None,[13],[],[]
Clark,KENTUCKY,21049,None,[18],[],[]
Lyon,KENTUCKY,21143,None,[13],[2],[]
Franklin,KENTUCKY,21073,None,[11],[],[]
Kenton,KENTUCKY,21117,None,[106],[10],[]
Warren,KENTUCKY,21227,None,[52],[],[]
Christian,KENTUCKY,21047,None,[71],[3],[]
Daviess,KENTUCKY,21059,None,[90],[3],[]
Henderson,KENTUCKY,21101,None,[24],[],[]
Pulaski,KENTUCKY,21199,None,[31],[2],[]
Scott,KENTUCKY,21209,None,[27],[],[]
Unknown,KENTUCKY,None,None,[15],[0],[]
Calloway,KENTUCKY,21035,None,[15],[1],[]
Anderson,KENTUCKY,21005,None,[4],[1],[]
Madison,KENTUCKY,21151,None,[21],[1],[]
Spencer,KENTUCKY,21215,None,[9],[],[]
Allen,KENTUCKY,21003,None,[2],[],[]
Breathitt,KENTUCKY,21025,None,[3],[],[]
Hardin,KENTUCKY,21093,None,[26],[],[]
Jessamine,KENTUCKY,21113,None,[29],[],[]
Oldham,KENTUCKY,21185,None,[19],[],[]
Logan,KENTUCKY,21141,None,[10],[],[]
Martin,KENTUCKY,21159,None,[1],[],[]
McCracken,KENTUCKY,21145,None,[24],[2],[]
Menifee,KENTUCKY,21165,None,[3],[],[]
Muhlenberg,KENTUCKY,21177,None,[51],[2],[]
Simpson,KENTUCKY,21213,None,[17],[1],[]
Grayson,KENTUCKY,21085,None,[5],[],[]
Laurel,KENTUCKY,21125,None,[11],[2],[]
McCreary,KENTUCKY,21147,None,[9],[],[]
Wayne,KENTUCKY,21231,None,[5],[],[]
Boone,KENTUCKY,21015,None,[61],[2],[]
Hopkins,KENTUCKY,21107,None,[92],[9],[]
Mason,KENTUCKY,21161,None,[6],[],[]
Mercer,KENTUCKY,21167,None,[9],[],[]
Union,KENTUCKY,21225,None,[5],[],[]
Webster,KENTUCKY,21233,None,[9],[],[]
Bullitt,KENTUCKY,21029,None,[34],[2],[]
Campbell,KENTUCKY,21037,None,[50],[5],[]
Larue,KENTUCKY,21123,None,[4],[],[]
Woodford,KENTUCKY,21239,None,[16],[],[]
Boyle,KENTUCKY,21021,None,[13],[],[]
Bracken,KENTUCKY,21023,None,[5],[],[]
Breckinridge,KENTUCKY,21027,None,[3],[],[]
Butler,KENTUCKY,21031,None,[45],[1],[]
Carroll,KENTUCKY,21041,None,[2],[],[]
Floyd,KENTUCKY,21071,None,[1],[],[]
Grant,KENTUCKY,21081,None,[14],[1],[]
Nicholas,KENTUCKY,21181,None,[1],[],[]
Shelby,KENTUCKY,21211,None,[19],[1],[]
Washington,KENTUCKY,21229,None,[3],[],[]
Boyd,KENTUCKY,21019,None,[24],[2],[]
Lewis,KENTUCKY,21135,None,[2],[],[]
Taylor,KENTUCKY,21217,None,[4],[],[]
Marion,KENTUCKY,21155,None,[12],[],[]
Marshall,KENTUCKY,21157,None,[12],[],[]
Barren,KENTUCKY,21009,None,[6],[],[]
Edmonson,KENTUCKY,21061,None,[7],[],[]
Graves,KENTUCKY,21083,None,[16],[],[]
Hancock,KENTUCKY,21091,None,[2],[],[]
Henry,KENTUCKY,21103,None,[3],[],[]
Lawrence,KENTUCKY,21127,None,[1],[],[]
Powell,KENTUCKY,21197,None,[1],[],[]
Rockcastle,KENTUCKY,21203,None,[9],[],[]
Russell,KENTUCKY,21207,None,[8],[],[]
Bath,KENTUCKY,21011,None,[3],[],[]
Crittenden,KENTUCKY,21055,None,[3],[],[]
Cumberland,KENTUCKY,21057,None,[2],[],[]
Lincoln,KENTUCKY,21137,None,[1],[],[]
Meade,KENTUCKY,21163,None,[2],[1],[]
Pendleton,KENTUCKY,21191,None,[3],[],[]
Caldwell,KENTUCKY,21033,None,[10],[],[]
Clinton,KENTUCKY,21053,None,[2],[],[]
Ohio,KENTUCKY,21183,None,[11],[],[]
Perry,KENTUCKY,21193,None,[4],[],[]
Adair,KENTUCKY,21001,None,[44],[2],[]
Carter,KENTUCKY,21043,None,[3],[],[]
Greenup,KENTUCKY,21089,None,[7],[],[]
Johnson,KENTUCKY,21115,None,[1],[],[]
Leslie,KENTUCKY,21131,None,[2],[],[]
Letcher,KENTUCKY,21133,None,[1],[],[]
McLean,KENTUCKY,21149,None,[5],[0],[]
Monroe,KENTUCKY,21171,None,[3],[],[]
Pike,KENTUCKY,21195,None,[5],[1],[]
Green,KENTUCKY,21087,None,[1],[],[]
Hart,KENTUCKY,21099,None,[1],[],[]
Todd,KENTUCKY,21219,None,[8],[],[]
Ballard,KENTUCKY,21007,None,[2],[],[]
Jackson,KENTUCKY,21109,None,[23],[1],[]
Whitley,KENTUCKY,21235,None,[5],[],[]
Knox,KENTUCKY,21121,None,[1],[],[]
Trimble,KENTUCKY,21223,None,[1],[],[]
Fleming,KENTUCKY,21069,None,[2],[],[]
Gallatin,KENTUCKY,21077,None,[1],[],[]
Knott,KENTUCKY,21119,None,[1],[],[]
Rowan,KENTUCKY,21205,None,[1],[],[]
Morgan,KENTUCKY,21175,None,[1],[],[]
Owsley,KENTUCKY,21189,None,[2],[],[]
Trigg,KENTUCKY,21221,None,[4],[],[]
Casey,KENTUCKY,21045,None,[1],[],[]
Garrard,KENTUCKY,21079,None,[1],[],[]
Livingston,KENTUCKY,21139,None,[1],[],[]
