County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,MISSISSIPPI,28001,31.4904433, -91.3297733,133,8
Alcorn,MISSISSIPPI,28003,34.8734817, -88.5667345,10,1
Amite,MISSISSIPPI,28005,31.1729865, -90.8217568,29,0
Attala,MISSISSIPPI,28007,33.0777868, -89.5680661,99,0
Benton,MISSISSIPPI,28009,34.8277278, -89.1960486,11,0
Bolivar,MISSISSIPPI,28011,33.7702263, -90.8519798,102,7
Calhoun,MISSISSIPPI,28013,33.9253624, -89.3231269,50,3
Carroll,MISSISSIPPI,28015,33.4230182, -89.9110025,38,1
Chickasaw,MISSISSIPPI,28017,33.9137474, -88.9357382,68,7
Choctaw,MISSISSIPPI,28019,33.3569348, -89.2390212,13,1
Claiborne,MISSISSIPPI,28021,31.9640731, -90.9141968,22,0
Clarke,MISSISSIPPI,28023,32.0396256, -88.7003965,54,3
Clay,MISSISSIPPI,28025,33.6393012, -88.7957063,40,2
Coahoma,MISSISSIPPI,28027,34.1931314, -90.5653906,61,3
Copiah,MISSISSIPPI,28029,31.8563532, -90.4798717,96,1
Covington,MISSISSIPPI,28031,31.6143213, -89.5278045,62,0
Desoto,MISSISSIPPI,28033,34.8703284, -89.9778704,282,4
Forrest,MISSISSIPPI,28035,31.1540772, -89.2398601,207,12
Franklin,MISSISSIPPI,28037,31.467398, -90.8992648,16,1
George,MISSISSIPPI,28039,30.857421, -88.6537118,13,1
Greene,MISSISSIPPI,28041,31.2049136, -88.6429687,5,1
Grenada,MISSISSIPPI,28043,33.772401, -89.7674875,28,0
Hancock,MISSISSIPPI,28045,30.3892826, -89.4782116,62,5
Harrison,MISSISSIPPI,28047,30.4553392, -89.1313136,174,6
Hinds,MISSISSIPPI,28049,32.2506754, -90.4793259,470,8
Holmes,MISSISSIPPI,28051,33.1018124, -90.0656168,133,5
Humphreys,MISSISSIPPI,28053,33.1282074, -90.5408182,23,3
Itawamba,MISSISSIPPI,28057,34.2774018, -88.3713687,57,3
Jackson,MISSISSIPPI,28059,30.4899024, -88.6486325,259,6
Jasper,MISSISSIPPI,28061,32.0216075, -89.1132111,42,1
Jefferson,MISSISSIPPI,28063,31.7257154, -91.0335766,18,0
Jefferson Davis,MISSISSIPPI,28065,31.5576951, -89.8386843,32,1
Jones,MISSISSIPPI,28067,31.6058959, -89.1636245,143,1
Kemper,MISSISSIPPI,28069,32.7307497, -88.6604179,57,2
Lafayette,MISSISSIPPI,28071,34.3519389, -89.4664677,89,3
Lamar,MISSISSIPPI,28073,31.2109862, -89.5152337,103,2
Lauderdale,MISSISSIPPI,28075,32.3905206, -88.689636,349,20
Lawrence,MISSISSIPPI,28077,31.5129753, -90.1205396,45,0
Leake,MISSISSIPPI,28079,32.7401114, -89.5241292,204,2
Lee,MISSISSIPPI,28081,34.265749, -88.6913264,69,4
Leflore,MISSISSIPPI,28083,33.5244154, -90.288095,148,17
Lincoln,MISSISSIPPI,28085,31.4885409, -90.4480916,141,10
Lowndes,MISSISSIPPI,28087,33.4466925, -88.4108384,54,2
Madison,MISSISSIPPI,28089,32.6308679, -90.0040817,229,8
Marion,MISSISSIPPI,28091,31.2247688, -89.8217717,72,6
Marshall,MISSISSIPPI,28093,34.7329561, -89.4725635,43,2
Monroe,MISSISSIPPI,28095,33.8884929, -88.4747009,157,14
Montgomery,MISSISSIPPI,28097,33.5074528, -89.6182472,28,1
Neshoba,MISSISSIPPI,28099,32.7237573, -89.103199,187,3
Newton,MISSISSIPPI,28101,32.3882835, -89.1317486,81,0
Noxubee,MISSISSIPPI,28103,33.1190254, -88.5916703,66,0
Oktibbeha,MISSISSIPPI,28105,33.4131096, -88.8937318,51,3
Panola,MISSISSIPPI,28107,34.3793392, -89.9601925,39,2
Pearl River,MISSISSIPPI,28109,30.7761973, -89.5984726,163,19
Perry,MISSISSIPPI,28111,31.153317, -88.9830577,27,1
Pike,MISSISSIPPI,28113,39.548248, -91.153628,148,7
Pontotoc,MISSISSIPPI,28115,34.2114655, -89.0382651,18,2
Prentiss,MISSISSIPPI,28117,34.6222512, -88.5153286,32,1
Quitman,MISSISSIPPI,28119,34.1920186, -90.2946542,14,0
Rankin,MISSISSIPPI,28121,32.2338702, -89.9484651,186,5
Scott,MISSISSIPPI,28123,32.3805744, -89.5092509,316,0
Sharkey,MISSISSIPPI,28125,32.8742585, -90.8478339,5,0
Simpson,MISSISSIPPI,28127,31.8919593, -89.9323619,46,0
Smith,MISSISSIPPI,28129,32.0018336, -89.4877278,74,4
Stone,MISSISSIPPI,28131,30.7843863, -89.1342764,22,0
Sunflower,MISSISSIPPI,28133,33.4980504, -90.602067,53,2
