County,State,fips,Latitude,Longitude,Confirmed Cases
Barnes,NORTH DAKOTA,38003,46.9310489, -98.0678849,4
Bowman,NORTH DAKOTA,38011,46.1010498, -103.5086625,1
Burke,NORTH DAKOTA,38013,48.7882181, -102.5295867,3
Burleigh,NORTH DAKOTA,38015,46.9498874, -100.5127667,77
Cass,NORTH DAKOTA,38017,46.9241972, -97.220631,513
Divide,NORTH DAKOTA,38023,48.8189219, -103.5180387,1
Dunn,NORTH DAKOTA,38025,47.30612, -102.6112348,10
Eddy,NORTH DAKOTA,38027,47.7113958, -98.9087265,1
Emmons,NORTH DAKOTA,38029,46.2575403, -100.2574942,1
Foster,NORTH DAKOTA,38031,47.4642277, -98.8815333,1
Grand Forks,NORTH DAKOTA,38035,47.9090529, -97.4800435,258
Grant,NORTH DAKOTA,38037,46.3441037, -101.6261837,1
McHenry,NORTH DAKOTA,38049,48.1907427, -100.65378,1
McIntosh,NORTH DAKOTA,38051,46.1097938, -99.4243411,1
McKenzie,NORTH DAKOTA,38053,47.7702536, -103.4734684,13
McLean,NORTH DAKOTA,38055,47.6002156, -101.1719782,3
Morton,NORTH DAKOTA,38059,46.7244733, -101.1644543,24
Mountrail,NORTH DAKOTA,38061,48.230321, -102.3603325,35
Nelson,NORTH DAKOTA,38063,47.8852229, -98.1774434,1
Oliver,NORTH DAKOTA,38065,47.1077709, -101.3524486,1
Pembina,NORTH DAKOTA,38067,48.7530787, -97.5532833,3
Pierce,NORTH DAKOTA,38069,48.1957108, -100.0625504,2
Ramsey,NORTH DAKOTA,38071,48.2426199, -98.7062419,3
Ransom,NORTH DAKOTA,38073,46.4519081, -97.6903091,1
Richland,NORTH DAKOTA,38077,46.2247251, -96.9470748,7
Rolette,NORTH DAKOTA,38079,48.7419695, -99.8380336,1
Sargent,NORTH DAKOTA,38081,46.1101793, -97.6291809,1
Sioux,NORTH DAKOTA,38085,46.0654725, -100.978187,1
Slope,NORTH DAKOTA,38087,46.4464651, -103.4507022,3
Stark,NORTH DAKOTA,38089,46.7870161, -102.7338349,49
Stutsman,NORTH DAKOTA,38093,46.9596318, -98.9742609,6
Walsh,NORTH DAKOTA,38099,48.3693784, -97.7469943,7
Ward,NORTH DAKOTA,38101,48.2488309, -101.6242607,21
Wells,NORTH DAKOTA,38103,47.5664224, -99.6508819,2
Williams,NORTH DAKOTA,38105,48.3629861, -103.4958386,10
