County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,NEBRASKA,31001,40.5125798, -98.5148588,101,2
Antelope,NEBRASKA,31003,42.1864809, -98.0716943,1,0
Box Butte,NEBRASKA,31013,42.2130279, -103.0700157,1,0
Buffalo,NEBRASKA,31019,40.8421618, -99.0845451,55,1
Burt,NEBRASKA,31021,41.855662, -96.3357902,1,0
Butler,NEBRASKA,31023,41.2142454, -97.1384119,1,0
Cass,NEBRASKA,31025,40.9017313, -96.1922102,3,0
Cherry,NEBRASKA,31031,42.5560174, -101.1503042,1,0
Cheyenne,NEBRASKA,31033,41.2053619, -102.9796713,4,0
Clay,NEBRASKA,31035,40.5020772, -98.0695257,5,0
Colfax,NEBRASKA,31037,41.5738643, -97.0828487,5,0
Cuming,NEBRASKA,31039,41.9233919, -96.7921475,2,0
Custer,NEBRASKA,31041,41.4022198, -99.7272241,20,2
Dakota,NEBRASKA,31043,42.4049316, -96.5677015,246,0
Dawson,NEBRASKA,31047,40.8776438, -99.8505693,176,0
Dixon,NEBRASKA,31051,42.4351249, -96.8792569,1,0
Dodge,NEBRASKA,31053,41.58577, -96.6789773,18,0
Douglas,NEBRASKA,31055,41.2954112, -96.1415672,298,10
Franklin,NEBRASKA,31061,40.1715234, -98.9687585,3,0
Furnas,NEBRASKA,31065,40.1791278, -99.8981009,2,0
Gage,NEBRASKA,31067,40.2469449, -96.7021336,28,3
Gosper,NEBRASKA,31073,40.5145053, -99.8185651,7,0
Hall,NEBRASKA,31079,40.8627335, -98.5122907,558,12
Hamilton,NEBRASKA,31081,40.8569853, -98.0470062,24,2
Howard,NEBRASKA,31093,41.227424, -98.5174349,5,0
Johnson,NEBRASKA,31097,40.3915587, -96.2796179,2,0
Kearney,NEBRASKA,31099,40.4906216, -98.9472344,4,0
Kimball,NEBRASKA,31105,41.1881305, -103.6997645,9,0
Knox,NEBRASKA,31107,42.6206698, -97.8901445,2,0
Lancaster,NEBRASKA,31109,40.7768326, -96.7111039,92,1
Lincoln,NEBRASKA,31111,41.0245579, -100.7366742,18,1
Madison,NEBRASKA,31119,41.9064942, -97.5961512,15,2
Merrick,NEBRASKA,31121,41.1650536, -98.0531937,9,0
Morrill,NEBRASKA,31123,41.683432, -103.0100258,1,0
Nance,NEBRASKA,31125,41.3947359, -98.002421,1,0
Nemaha,NEBRASKA,31127,40.3837713, -95.8518344,1,0
Otoe,NEBRASKA,31131,40.6566851, -96.1444582,1,0
Phelps,NEBRASKA,31137,40.5078647, -99.425665,1,0
Pierce,NEBRASKA,31139,42.2591262, -97.6036812,1,0
Platte,NEBRASKA,31141,41.5760383, -97.51149,8,0
Polk,NEBRASKA,31143,41.1893645, -97.570244,6,0
Red Willow,NEBRASKA,31145,40.1686191, -100.4550901,1,0
Saline,NEBRASKA,31151,40.5079612, -97.175536,11,0
Sarpy,NEBRASKA,31153,41.1193462, -96.093081,55,0
Saunders,NEBRASKA,31155,41.2260007, -96.6520834,6,0
Scotts Bluff,NEBRASKA,31157,41.8555787, -103.7088303,22,0
Seward,NEBRASKA,31159,40.8695533, -97.1706676,4,1
Stanton,NEBRASKA,31167,41.9220687, -97.2141158,2,0
Washington,NEBRASKA,31177,41.5407766, -96.246548,21,1
Wayne,NEBRASKA,31179,42.1941294, -97.169623,1,0
Webster,NEBRASKA,31181,40.1677552, -98.5260923,2,0
York,NEBRASKA,31185,40.871617, -97.6001401,7,0
TBD,NEBRASKA,31,41.7370229,-99.5873816,26,0
