County,State,fips,Latitude,Longitude,Confirmed Cases
Hillsborough,NEW HAMPSHIRE,33011,36.3926798,-79.744144,458
Rockingham,NEW HAMPSHIRE,33015,36.3926798,-79.744144,399
Merrimack,NEW HAMPSHIRE,33013,36.3926798,-79.744144,81
Strafford,NEW HAMPSHIRE,33017,36.3926798,-79.744144,69
Grafton,NEW HAMPSHIRE,33009,36.3926798,-79.744144,44
Carroll,NEW HAMPSHIRE,33003,36.3926798,-79.744144,29
Cheshire,NEW HAMPSHIRE,33005,36.3926798,-79.744144,26
Belknap,NEW HAMPSHIRE,33001,36.3926798,-79.744144,24
Sullivan,NEW HAMPSHIRE,33019,36.3926798,-79.744144,7
Coos,NEW HAMPSHIRE,33007,36.3926798,-79.744144,2
