County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Atlantic,NEW JERSEY,34001,39.5143268, -74.6632883,868,35,108
Bergen,NEW JERSEY,34003,40.9678345, -74.0563254,15251,1002,3
Burlington,NEW JERSEY,34005,39.9325409, -74.7226665,2543,106,168
Camden,NEW JERSEY,34007,39.8014709, -74.968553,3285,124,700
Cape May,NEW JERSEY,34009,39.1765386, -74.8012119,299,20,85
Cumberland,NEW JERSEY,34011,39.3183341, -75.1623239,659,10,0
Essex,NEW JERSEY,34013,40.7913922, -74.2479444,13190,1090,22
Gloucester,NEW JERSEY,34015,39.7267303, -75.1535378,1179,38,0
Hudson,NEW JERSEY,34017,40.7381635, -74.0550731,14309,722,447
Hunterdon,NEW JERSEY,34019,40.5770634, -74.9261552,573,24,1
Mercer,NEW JERSEY,34021,40.2807177, -74.7033717,3605,212,24
Middlesex,NEW JERSEY,34023,40.4279708, -74.3963102,11102,515,0
Monmouth,NEW JERSEY,34025,40.2932319, -74.1671114,5826,305,1
Morris,NEW JERSEY,34027,40.8679538, -74.5601181,5128,377,19
Ocean,NEW JERSEY,34029,39.977818, -74.3319287,6151,342,0
Passaic,NEW JERSEY,34031,41.0461864, -74.3177933,11755,475,100
Salem,NEW JERSEY,34033,39.5980987, -75.3488201,219,8,0
Somerset,NEW JERSEY,34035,40.5675084, -74.6189556,3278,242,2144
Sussex,NEW JERSEY,34037,41.133372, -74.6930393,882,97,0
Union,NEW JERSEY,34039,40.6652251, -74.3045277,12188,627,414
Warren,NEW JERSEY,34041,40.8602222, -74.9720493,848,71,154
Under investigation,NEW JERSEY,34,40.0757384,-74.4041622,818,0,0
