County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Bernalillo County,NEW MEXICO,35001,35.0349239, -106.6870693,455,16
Catron County,NEW MEXICO,35003,33.9026943, -108.3800825,1,—
Chaves County,NEW MEXICO,35005,33.2993426, -104.5133481,19,—
Cibola County,NEW MEXICO,35006,34.8722771, -107.9398474,25,1
Colfax County,NEW MEXICO,35007,36.5571762, -104.6118941,2,—
Curry County,NEW MEXICO,35009,34.5220133, -103.3099435,10,—
De Baca County,NEW MEXICO,35011,34.2989792, -104.4155765,0,—
Doña Ana County,NEW MEXICO,None,32.32817, -106.8494235,50,1
Eddy County,NEW MEXICO,35015,32.4003136, -104.3452596,7,1
Grant County,NEW MEXICO,35017,32.7548776, -108.3634144,10,—
Guadalupe County,NEW MEXICO,35019,34.8980615, -104.8282135,0,—
Harding County,NEW MEXICO,35021,35.8996832, -103.7873945,0,—
Hidalgo County,NEW MEXICO,35023,31.801493, -108.7598468,0,—
Lea County,NEW MEXICO,35025,32.7448727, -103.3828242,2,—
Lincoln County,NEW MEXICO,35027,33.7525727, -105.4158806,1,—
Los Alamos County,NEW MEXICO,35028,35.8585475, -106.317166,5,—
Luna County,NEW MEXICO,35029,32.1345966, -107.7682754,2,—
McKinley County,NEW MEXICO,35031,35.6438394, -108.1515609,191,2
Mora County,NEW MEXICO,35033,35.972232, -104.9132218,0,—
Otero County,NEW MEXICO,35035,32.5059533, -105.8063662,3,—
Quay County,NEW MEXICO,35037,35.1439219, -103.4183431,1,—
Rio Arriba County,NEW MEXICO,35039,36.5488273, -106.8155233,7,—
Roosevelt County,NEW MEXICO,35041,33.972525, -103.4933903,1,—
San Juan County,NEW MEXICO,35045,36.4755752, -108.3046555,173,7
San Miguel County,NEW MEXICO,35047,35.470043, -104.7946178,1,—
Sandoval County,NEW MEXICO,35043,35.5910806, -106.8472167,244,3
Santa Fe County,NEW MEXICO,35049,35.4859674, -106.0135507,76,—
Sierra County,NEW MEXICO,35051,33.1165937, -107.2569421,0,—
Socorro County,NEW MEXICO,35053,33.9904719, -106.9220832,14,—
Taos County,NEW MEXICO,35055,36.4925795, -105.6812782,15,—
Torrance County,NEW MEXICO,35057,34.6356278, -105.9059678,10,—
Union County,NEW MEXICO,35059,36.3985203, -103.4132264,0,—
Valencia County,NEW MEXICO,35061,34.7325886, -106.8503919,20,—
