County,State,fips,Latitude,Longitude,Confirmed Cases
Clark,NEVADA,32003,36.3467726,-115.0907378,2559
Washoe,NEVADA,32031,40.5849048,-119.6131606,549
Carson City,NEVADA,32510,39.1649125,-119.7666496,25
Humboldt,NEVADA,32013,41.429394,-118.2024818,20
Nye,NEVADA,32023,38.3544843,-116.4069616,19
Douglas,NEVADA,32005,38.9072611,-119.6201824,13
Elko,NEVADA,32007,41.1958128,-115.3272864,11
Lyon,NEVADA,32019,38.9887898,-119.1822042,11
White Pine,NEVADA,32033,39.5298185,-114.8899563,3
Lincoln,NEVADA,32017,37.5449476,-114.8764448,1
