County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Albany,NEW YORK,36001,42.5986896, -73.9843997,687,19,216
Allegany,NEW YORK,36003,42.2446061, -78.0419281,30,2,24
Broome,NEW YORK,36007,42.1455623, -75.8404114,215,11,49
Cattaraugus,NEW YORK,36009,42.2234823, -78.6477096,34,0,8
Cayuga,NEW YORK,36011,42.8093409, -76.5700777,36,2,5
Chautauqua,NEW YORK,36013,42.2894671, -79.421728,25,1,21
Chemung,NEW YORK,36015,42.1384667, -76.7725493,73,1,10
Chenango,NEW YORK,36017,42.4784565, -75.6130279,78,0,34
Clinton,NEW YORK,36019,44.7278943, -73.6686982,51,3,34
Columbia,NEW YORK,36021,42.2415027, -73.6723456,111,13,53
Cortland,NEW YORK,36023,42.5842136, -76.0704906,32,1,23
Delaware,NEW YORK,36025,42.194917, -75.0016302,49,2,25
Dutchess,NEW YORK,36027,41.7194303, -73.7516205,2284,50,233
Erie,NEW YORK,36029,42.7164263, -78.7620327,2192,143,479
Essex,NEW YORK,36031,44.0638879, -73.7542043,20,0,8
Franklin,NEW YORK,36033,44.5599139, -74.3273735,13,0,4
Fulton,NEW YORK,36035,43.1061507, -74.4461771,27,2,0
Genesee,NEW YORK,36037,43.0102726, -78.1780196,119,2,46
Greene,NEW YORK,36039,42.2628769, -74.0878112,86,2,39
Hamilton,NEW YORK,36041,43.6307863, -74.4659275,3,0,0
Herkimer,NEW YORK,36043,43.4911326, -74.9481252,49,3,18
Jefferson,NEW YORK,36045,44.059311, -75.9995742,54,0,9
Lewis,NEW YORK,36049,43.7344277, -75.440289,9,3,5
Livingston,NEW YORK,36051,42.7360902, -77.7781416,47,2,25
Madison,NEW YORK,36053,42.875882, -75.6802581,120,5,95
Monroe,NEW YORK,36055,43.150094, -77.6810141,1054,65,442
Montgomery,NEW YORK,36057,42.8941269, -74.4099745,35,3,10
Nassau,NEW YORK,36059,40.7412643, -73.5877699,30677,1329,1733
Niagara,NEW YORK,36063,43.2042439, -78.7676017,279,17,116
Oneida,NEW YORK,36065,43.2144051, -75.4039155,281,6,79
Onondaga,NEW YORK,36067,43.015598, -76.2257127,637,19,351
Ontario,NEW YORK,36069,42.8580624, -77.295025,71,1,29
Orange,NEW YORK,36071,41.3873306, -74.2507287,6514,211,0
Orleans,NEW YORK,36073,43.2244513, -78.2272835,46,2,14
Oswego,NEW YORK,36075,43.4112973, -76.1279841,56,2,42
Otsego,NEW YORK,36077,42.5984272, -75.0142701,49,3,21
Putnam,NEW YORK,36079,41.426996, -73.760156,599,37,0
Rensselaer,NEW YORK,36083,42.7091389, -73.5107732,193,8,64
Rockland,NEW YORK,36087,41.1519319, -74.0357266,9457,334,4975
Saratoga,NEW YORK,36091,43.0833231, -73.8712155,254,10,121
Schenectady,NEW YORK,36093,42.831851, -74.0445388,269,13,106
Schoharie,NEW YORK,36095,42.5757217, -74.4390277,20,1,0
Schuyler,NEW YORK,36097,42.3899705, -76.8744093,8,0,6
Seneca,NEW YORK,36099,42.7831619, -76.8386051,18,2,3
St. Lawrence,NEW YORK,36089,44.4973591, -75.0657043,110,1,48
Steuben,NEW YORK,36101,42.2359045, -77.3750862,195,15,93
Suffolk,NEW YORK,36103,40.8832318, -72.8578027,28057,859,1823
Sullivan,NEW YORK,36105,41.7156311, -74.7804323,544,11,453
Tioga,NEW YORK,36107,42.1333395, -76.3309339,37,1,13
Tompkins,NEW YORK,36109,42.443114, -76.4725921,119,0,94
Ulster,NEW YORK,36111,41.8689317, -74.2618518,997,16,137
Warren,NEW YORK,36113,43.5018687, -73.8164637,101,4,9
Washington,NEW YORK,36115,43.2294536, -73.4471343,63,3,21
Wayne,NEW YORK,36117,43.1500557, -77.0377603,53,1,16
Westchester,NEW YORK,36119,41.1763139, -73.7907554,24306,776,9371
Wyoming,NEW YORK,36121,42.7039813, -78.2415228,36,4,23
Yates,NEW YORK,36123,42.6444444, -77.112177,10,0,2
Bronx,NEW YORK,36005,40.8466508,-73.8785937,29505,,
Brooklyn,NEW YORK,36047,40.6501038,-73.9495823,35203,,
Manhattan,NEW YORK,36061,40.7896239,-73.9598939,16987,,
Queens,NEW YORK,36081,40.7498243,-73.7976337,40714,,
Staten Island,NEW YORK,36085,40.5834557,-74.1496048,9986,,
