County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Abbeville,SOUTH CAROLINA,45001,34.2264946, -82.4364036,17,0
Aiken,SOUTH CAROLINA,45003,33.5723191, -81.6182086,70,4
Allendale,SOUTH CAROLINA,45005,32.9635006, -81.3400056,6,0
Anderson,SOUTH CAROLINA,45007,34.5258335, -82.652962,134,5
Bamberg,SOUTH CAROLINA,45009,33.2130154, -81.0166235,7,0
Barnwell,SOUTH CAROLINA,45011,33.2641009, -81.4190808,6,0
Beaufort,SOUTH CAROLINA,45013,32.3850708, -80.6923169,225,6
Berkeley,SOUTH CAROLINA,45015,33.1595951, -79.9070461,138,3
Calhoun,SOUTH CAROLINA,45017,33.6567769, -80.7603948,6,1
Charleston,SOUTH CAROLINA,45019,32.8152646, -79.7996814,391,3
Cherokee,SOUTH CAROLINA,45021,35.0372626, -81.6480755,14,0
Chester,SOUTH CAROLINA,45023,34.6859896, -81.1545073,25,0
Chesterfield,SOUTH CAROLINA,45025,34.6500578, -80.1417843,36,0
Clarendon,SOUTH CAROLINA,45027,33.6653463, -80.2277002,120,7
Colleton,SOUTH CAROLINA,45029,32.8620726, -80.677114,23,1
Darlington,SOUTH CAROLINA,45031,34.3609331, -79.9438572,69,0
Dillon,SOUTH CAROLINA,45033,34.4014089, -79.3864339,22,0
Dorchester,SOUTH CAROLINA,45035,33.0756291, -80.3431133,83,1
Edgefield,SOUTH CAROLINA,45037,33.7635851, -81.9759066,12,1
Fairfield,SOUTH CAROLINA,45039,34.4091797, -81.1131228,25,0
Florence,SOUTH CAROLINA,45041,33.986694, -79.6644927,153,8
Georgetown,SOUTH CAROLINA,45043,33.4392245, -79.3343041,34,2
Greenville,SOUTH CAROLINA,45045,34.8550021, -82.3356457,498,11
Greenwood,SOUTH CAROLINA,45047,34.1489805, -82.112882,37,0
Hampton,SOUTH CAROLINA,45049,32.7861789, -81.1237271,21,0
Horry,SOUTH CAROLINA,45051,33.9204504, -78.9578973,185,12
Jasper,SOUTH CAROLINA,45053,32.4048602, -81.0414726,15,1
Kershaw,SOUTH CAROLINA,45055,34.3334398, -80.5669895,201,9
Lancaster,SOUTH CAROLINA,45057,34.6628067, -80.700546,79,3
Laurens,SOUTH CAROLINA,45059,34.4646451, -81.9944042,20,1
Lee,SOUTH CAROLINA,45061,34.1619217, -80.2539608,42,5
Lexington,SOUTH CAROLINA,45063,33.8986841, -81.275054,274,9
Marion,SOUTH CAROLINA,45067,34.0572007, -79.3987578,15,1
Marlboro,SOUTH CAROLINA,45069,34.5810346, -79.6742033,29,0
McCormick,SOUTH CAROLINA,45065,33.8795325, -82.2797719,6,1
Newberry,SOUTH CAROLINA,45071,34.3266879, -81.5830086,20,1
Oconee,SOUTH CAROLINA,45073,34.7622221, -83.1099645,17,0
Orangeburg,SOUTH CAROLINA,45075,33.4054944, -80.778429,44,0
Pickens,SOUTH CAROLINA,45077,34.8882592, -82.7193824,38,0
Richland,SOUTH CAROLINA,45079,34.0190006, -80.9176832,657,14
Saluda,SOUTH CAROLINA,45081,34.009279, -81.7419823,12,0
Spartanburg,SOUTH CAROLINA,45083,34.937029, -81.9955954,219,5
Sumter,SOUTH CAROLINA,45085,33.8998826, -80.3237032,185,6
Union,SOUTH CAROLINA,45087,34.6941696, -81.642794,24,0
Williamsburg,SOUTH CAROLINA,45089,33.6442699, -79.7442135,26,0
York,SOUTH CAROLINA,45091,34.9603293, -81.1655408,159,3
