County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Aurora,SOUTH DAKOTA,46003,43.6963371, -98.5722461,1,0,1
Beadle,SOUTH DAKOTA,46005,44.4157764, -98.2751583,21,2,19
Bennett,SOUTH DAKOTA,46007,43.1854085, -101.655263,0,0,0
Bon Homme,SOUTH DAKOTA,46009,43.0067408, -97.8721324,4,0,3
Brookings,SOUTH DAKOTA,46011,44.3763598, -96.7925213,9,0,9
Brown,SOUTH DAKOTA,46013,45.5832968, -98.3674786,20,0,11
Brule,SOUTH DAKOTA,46015,43.6848301, -99.0538876,0,0,0
Charles Mix,SOUTH DAKOTA,46023,43.2257871, -98.6162758,4,0,3
Clark,SOUTH DAKOTA,46025,44.8684319, -97.7431382,1,0,1
Clay,SOUTH DAKOTA,46027,42.9190617, -96.9712933,5,0,4
Codington,SOUTH DAKOTA,46029,44.9695646, -97.1976513,13,0,12
Corson,SOUTH DAKOTA,46031,45.7135207, -101.1797766,1,0,1
Davison,SOUTH DAKOTA,46035,43.6660467, -98.1383168,3,0,3
Deuel,SOUTH DAKOTA,46039,44.7554353, -96.671551,1,0,1
Fall River,SOUTH DAKOTA,46047,43.2264954, -103.5791473,1,0,1
Faulk,SOUTH DAKOTA,46049,45.0743643, -99.1739778,1,0,1
Hamlin,SOUTH DAKOTA,46057,44.6754502, -97.2005816,2,0,1
Hughes,SOUTH DAKOTA,46065,44.4047339, -99.946102,5,0,4
Hutchinson,SOUTH DAKOTA,46067,43.3271413, -97.7396791,2,0,2
Hyde,SOUTH DAKOTA,46069,44.5103405, -99.4936719,1,0,1
Jerauld,SOUTH DAKOTA,46073,44.0797601, -98.6182042,4,0,4
Lake,SOUTH DAKOTA,46079,44.0188394, -97.1267291,3,0,2
Lawrence,SOUTH DAKOTA,46081,44.3501591, -103.8248538,9,0,9
Lincoln,SOUTH DAKOTA,46083,43.2724187, -96.7387762,95,0,48
Lyman,SOUTH DAKOTA,46085,43.9176386, -99.8581638,2,0,2
Marshall,SOUTH DAKOTA,46091,45.7619018, -97.6300108,1,0,1
McCook,SOUTH DAKOTA,46087,43.6719795, -97.37153,3,1,2
Meade,SOUTH DAKOTA,46093,44.5263375, -102.6463435,1,0,1
Miner,SOUTH DAKOTA,46097,44.0129518, -97.6043451,1,0,0
Minnehaha,SOUTH DAKOTA,46099,43.6680284, -96.7837626,1,405,3,514
Moody,SOUTH DAKOTA,46101,43.998215, -96.6671385,1,0,0
Oglala Lakota,SOUTH DAKOTA,46102,43.2977026, -102.5637516,1,0,1
Pennington,SOUTH DAKOTA,46103,43.9955746, -102.7854668,11,1,7
Roberts,SOUTH DAKOTA,46109,45.6000291, -97.0000238,4,0,4
Sanborn,SOUTH DAKOTA,46111,44.0089691, -98.0834349,3,0,2
Spink,SOUTH DAKOTA,46115,44.9438314, -98.3730958,3,0,2
Sully,SOUTH DAKOTA,46119,44.7173891, -100.0690149,1,0,1
Todd,SOUTH DAKOTA,46121,43.184924, -100.7438395,1,0,1
Turner,SOUTH DAKOTA,46125,43.3256378, -97.136978,6,0,3
Union,SOUTH DAKOTA,46127,42.8717888, -96.6772947,7,0,3
Walworth,SOUTH DAKOTA,46129,45.4043853, -100.0072972,5,0,4
