County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Anderson,TENNESSEE,47001,36.1063226, -84.1849939,28,1,21
Bedford,TENNESSEE,47003,35.5099479, -86.4507189,173,2,36
Benton,TENNESSEE,47005,36.0345286, -88.101285,6,1,4
Bledsoe,TENNESSEE,47007,35.5943104, -85.2104415,594,–,9
Blount,TENNESSEE,47009,35.6719722, -83.9314465,56,3,44
Bradley,TENNESSEE,47011,35.1694469, -84.855938,49,1,38
Campbell,TENNESSEE,47013,36.3865389, -84.1351617,15,1,13
Cannon,TENNESSEE,47015,35.8044159, -86.0512075,12,,7
Carroll,TENNESSEE,47017,35.9631851, -88.4487987,18,1,12
Carter,TENNESSEE,47019,36.2840805, -82.1194772,12,1,6
Cheatham,TENNESSEE,47021,36.2444954, -87.0967857,46,–,25
Chester,TENNESSEE,47023,35.4265564, -88.6009817,10,–,5
Claiborne,TENNESSEE,47025,36.4673161, -83.6786377,5,–,5
Clay,TENNESSEE,47027,36.5125924, -85.5323062,5,–,5
Cocke,TENNESSEE,47029,35.9467093, -83.103978,16,–,14
Coffee,TENNESSEE,47031,35.4906115, -86.069633,36,–,16
Crockett,TENNESSEE,47033,35.8010059, -89.1300063,7,–,1
Cumberland,TENNESSEE,47035,35.953805, -84.9748195,74,1,44
Davidson,TENNESSEE,47037,36.189724, -86.7857862,2612,28,1280
Decatur,TENNESSEE,47039,35.6067875, -88.1083982,4,–,4
DeKalb,TENNESSEE,47041,35.9804643, -85.83965,15,–,9
Dickson,TENNESSEE,47043,36.1459327, -87.3480592,72,–,39
Dyer,TENNESSEE,47045,36.0526084, -89.4171552,34,–,18
Fayette,TENNESSEE,47047,35.1739357, -89.4175416,56,1,38
Fentress,TENNESSEE,47049,36.3639975, -84.9303411,4,–,2
Franklin,TENNESSEE,47051,35.1680139, -86.1084401,36,1,26
Gibson,TENNESSEE,47053,35.9745692, -88.932729,43,1,21
Giles,TENNESSEE,47055,35.2178285, -87.0296239,8,–,3
Grainger,TENNESSEE,47057,36.2810821, -83.5107018,5,–,4
Greene,TENNESSEE,47059,36.1698443, -82.8766356,44,2,28
Grundy,TENNESSEE,47061,35.3697894, -85.7106606,28,1,22
Hamblen,TENNESSEE,47063,36.2068067, -83.267995,18,2,11
Hamilton,TENNESSEE,47065,35.1755638, -85.1940792,156,13,88
Hancock,TENNESSEE,47067,36.5219631, -83.2459271,0,–,0
Hardeman,TENNESSEE,47069,35.1743058, -88.9963359,14,–,8
Hardin,TENNESSEE,47071,35.1946569, -88.1857563,5,–,3
Hawkins,TENNESSEE,47073,36.429878, -82.9568899,30,2,26
Haywood,TENNESSEE,47075,35.5675653, -89.287824,20,1,11
Henderson,TENNESSEE,47077,35.6418311, -88.3949437,7,–,4
Henry,TENNESSEE,47079,36.3180775, -88.3108196,13,–,8
Hickman,TENNESSEE,47081,35.794948, -87.4646163,44,–,2
Houston,TENNESSEE,47083,36.2696163, -87.7406571,5,–,4
Humphreys,TENNESSEE,47085,36.018558, -87.7721645,10,1,6
Jackson,TENNESSEE,47087,36.362299, -85.6654772,7,–,6
Jefferson,TENNESSEE,47089,36.040946, -83.4596349,19,–,15
Johnson,TENNESSEE,47091,36.443004, -81.8434683,3,–,2
