County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Harris,TEXAS,48201,29.8119769,-95.3741247,3629,44
Dallas,TEXAS,48113,32.7620405,-96.7790069,1723,31
Tarrant,TEXAS,48439,32.7513658,-97.335696,806,25
Travis,TEXAS,48453,30.2878569,-97.7561392,774,9
Bexar,TEXAS,48029,29.4263987,-98.5104781,772,27
Fort Bend,TEXAS,48157,29.511218,-95.7807348,536,11
Denton,TEXAS,48121,33.1838787,-97.1413417,482,13
Collin,TEXAS,48085,33.1609629,-96.6060984,453,8
Galveston,TEXAS,48167,29.3872254,-94.992736,355,8
Lubbock,TEXAS,48303,33.5831241,-101.818598,307,16
El Paso,TEXAS,48141,31.8072184, -106.2230394,292,2
Montgomery,TEXAS,48339,30.301949, -95.5065944,251,5
Brazoria,TEXAS,48039,29.18161, -95.4993375,237,2
Webb,TEXAS,48479,27.6983621, -99.2523577,196,8
Cameron,TEXAS,48061,26.1291189, -97.4134281,195,3
Hidalgo,TEXAS,48215,26.3530256, -98.216445,190,1
Brazos,TEXAS,48041,30.6521573, -96.3811144,140,11
Jefferson,TEXAS,48245,29.834772, -94.1704496,124,6
Williamson,TEXAS,48491,30.6580927, -97.6041649,117,4
Bell,TEXAS,48027,31.0081659, -97.4314413,101,3
Smith,TEXAS,48423,32.3402898, -95.2563971,96,1
Hays,TEXAS,48209,30.0447901, -98.0393127,82,0
Victoria,TEXAS,48469,28.8026443, -96.9766308,81,0
Nueces,TEXAS,48355,27.7153774, -97.6199942,76,0
McLennan,TEXAS,48309,31.5487691, -97.2189254,71,2
Potter,TEXAS,48375,35.3683354, -101.8776577,70,2
Ellis,TEXAS,48139,32.3347829, -96.7920233,66,2
Randall,TEXAS,48381,34.9444713, -101.8850309,64,2
Taylor,TEXAS,48441,32.2793121, -99.8812612,61,1
Hardin,TEXAS,48199,30.3049642, -94.403904,61,2
Wichita,TEXAS,48485,33.9516534, -98.7088886,56,0
Guadalupe,TEXAS,48187,29.6480061, -97.8279576,49,0
Nacogdoches,TEXAS,48347,31.5970503, -94.5927451,48,2
Matagorda,TEXAS,48321,28.8879823, -96.0035095,47,3
Orange,TEXAS,48361,30.1228634, -93.9041169,44,0
Ector,TEXAS,48135,31.8941755, -102.5794339,43,2
Gregg,TEXAS,48183,32.4492408, -94.8532848,39,0
Washington,TEXAS,48477,30.2226352, -96.3936114,37,2
Comal,TEXAS,48091,29.7979704, -98.2690787,37,4
Shelby,TEXAS,48419,31.7716364, -94.1301652,36,0
Tom Green,TEXAS,48451,31.3782559, -100.4133839,35,1
Coryell,TEXAS,48099,31.3689333, -97.8184077,34,0
Midland,TEXAS,48329,31.83688, -102.0103767,32,2
Bowie,TEXAS,48037,33.4198886, -94.4479626,32,1
Chambers,TEXAS,48071,29.7191125, -94.5412295,29,0
Kaufman,TEXAS,48257,32.6199161, -96.2967512,28,0
Johnson,TEXAS,48251,32.3766071, -97.3568623,28,1
Wharton,TEXAS,48481,29.2454534, -96.2291474,27,0
Rockwall,TEXAS,48397,32.8923464, -96.4066987,22,0
Moore,TEXAS,48341,35.8156121, -101.9104355,22,0
Donley,TEXAS,48129,34.9315007, -100.8145306,22,0
Walker,TEXAS,48471,30.6795741, -95.5522823,21,0
Liberty,TEXAS,48291,30.0856736, -94.7856262,19,0
Bastrop,TEXAS,48021,30.0900753, -97.3127179,19,1
Hunt,TEXAS,48231,33.1161567, -96.0808922,18,0
Grayson,TEXAS,48181,33.5636114, -96.6702111,17,0
Waller,TEXAS,48473,29.9443902, -95.9955885,16,0
Harrison,TEXAS,48203,32.5233959, -94.3982158,16,1
Angelina,TEXAS,48005,31.2544545, -94.6181177,16,0
Rusk,TEXAS,48401,32.051377, -94.7906553,15,0
Calhoun,TEXAS,48057,28.5031572, -96.6736551,15,0
Parker,TEXAS,48367,32.7599475, -97.7935767,14,0
Hockley,TEXAS,48219,33.5714311, -102.3110415,14,1
Panola,TEXAS,48365,32.1367712, -94.3130073,13,1
Medina,TEXAS,48325,29.2836281, -99.1126826,13,1
Hood,TEXAS,48221,32.4107555, -97.828282,13,1
Gray,TEXAS,48179,35.3711816, -100.7892236,13,0
Navarro,TEXAS,48349,32.0279525, -96.4985456,12,2
Erath,TEXAS,48143,32.1954856, -98.2213499,12,1
Andrews,TEXAS,48003,32.2690953, -102.6042447,12,0
Wilson,TEXAS,48493,29.1589961, -98.1251465,11,0
Limestone,TEXAS,48293,31.5261854, -96.580617,11,1
Kendall,TEXAS,48259,29.943885, -98.7258845,11,0
Hale,TEXAS,48189,34.0321298, -101.8088827,11,2
Castro,TEXAS,48069,34.4952536, -102.2592314,11,1
Austin,TEXAS,48015,29.8916488, -96.2443467,11,0
Van Zandt,TEXAS,48467,32.5375642, -95.8292165,10,1
Val Verde,TEXAS,48465,29.9153286, -101.1284631,10,0
Terry,TEXAS,48445,33.1514254, -102.3328121,10,0
Henderson,TEXAS,48213,32.182598, -95.7893178,10,0
Fayette,TEXAS,48149,29.8381635, -96.9559692,10,0
Brown,TEXAS,48049,31.7525184, -98.9904722,10,0
San Augustine,TEXAS,48405,31.3970365, -94.1751389,9,1
Polk,TEXAS,48373,30.7642828, -94.8192175,9,0
Maverick,TEXAS,48323,28.792861, -100.3110817,9,0
DeWitt,TEXAS,48123,29.0931328,-97.3158457,9,0
Atascosa,TEXAS,48013,28.8554434, -98.5316314,9,0
Upshur,TEXAS,48459,32.7263725, -94.9286251,8,0
Milam,TEXAS,48331,30.7626867, -96.9981706,8,0
Lamar,TEXAS,48277,33.6383552, -95.582343,8,0
Hill,TEXAS,48217,31.9595085, -97.0881654,8,0
Deaf Smith,TEXAS,48117,34.9323974, -102.5983118,8,0
Dawson,TEXAS,48115,32.7410762, -101.9576048,8,1
Starr,TEXAS,48427,26.5630409, -98.7479897,7,0
San Patricio,TEXAS,48409,27.9973226, -97.5130456,7,0
San Jacinto,TEXAS,48407,30.5083577, -95.1902362,7,0
Jasper,TEXAS,48241,30.7485258, -94.000884,7,0
Grimes,TEXAS,48185,30.5169334, -95.9943034,7,0
Colorado,TEXAS,48089,29.6099609, -96.5478826,7,0
Uvalde,TEXAS,48463,29.300357, -99.7733181,6,0
Titus,TEXAS,48449,33.2040399, -94.9651725,6,0
Cherokee,TEXAS,48073,31.8390826, -95.1791849,6,0
Caldwell,TEXAS,48055,29.8298971, -97.5959641,6,0
Burnet,TEXAS,48053,30.7763939, -98.1700016,6,0
Burleson,TEXAS,48051,30.4764878, -96.6353488,6,0
Wood,TEXAS,48499,32.7577475, -95.3812941,5,0
Wise,TEXAS,48497,33.2139213, -97.6563925,5,0
Willacy,TEXAS,48489,26.4553947, -97.5947484,5,1
Lynn,TEXAS,48305,33.1474257, -101.812592,5,0
Fannin,TEXAS,48147,33.5372542, -96.0902822,5,0
Cass,TEXAS,48067,33.0560857, -94.3510366,5,0
Swisher,TEXAS,48437,34.47235, -101.7119955,4,0
Palo Pinto,TEXAS,48363,32.7215726, -98.2814881,4,1
Lavaca,TEXAS,48285,29.3703333, -96.9334531,4,0
Jackson,TEXAS,48239,28.9224028, -96.55561,4,0
Hopkins,TEXAS,48223,33.1368252, -95.5656578,4,0
Goliad,TEXAS,48175,28.6467776, -97.4379552,4,0
Blanco,TEXAS,48031,30.2419274, -98.4004594,4,0
Zapata,TEXAS,48505,26.9879626, -99.1673556,3,0
Young,TEXAS,48503,33.1508315, -98.6962766,3,0
Trinity,TEXAS,48455,31.0834452, -95.1219348,3,0
Oldham,TEXAS,48359,35.3907651, -102.6193428,3,1
Morris,TEXAS,48343,33.0738633, -94.7392197,3,0
McCulloch,TEXAS,48307,31.1699604, -99.3885277,3,0
Llano,TEXAS,48299,30.6663312, -98.6970374,3,0
Live Oak,TEXAS,48297,28.2678746, -98.101923,3,0
Leon,TEXAS,48289,31.2715127, -95.9953382,3,0
Hutchinson,TEXAS,48233,35.8148236, -101.34844,3,0
Eastland,TEXAS,48133,32.2978594, -98.8630896,3,0
Comanche,TEXAS,48093,31.9130171, -98.527388,3,0
Camp,TEXAS,48063,32.9723128, -94.9852858,3,0
Anderson,TEXAS,48001,31.7819242, -95.6258199,3,0
Tyler,TEXAS,48457,30.7563939, -94.3984613,2,0
Robertson,TEXAS,48395,31.0339058, -96.5079742,2,0
Newton,TEXAS,48351,30.8118989, -93.740504,2,0
Montague,TEXAS,48337,33.6205753, -97.7215754,2,0
Martin,TEXAS,48317,32.2675039, -101.9190317,2,0
Lee,TEXAS,48287,30.3031353, -96.9588587,2,0
Lampasas,TEXAS,48281,31.1761363, -98.240563,2,0
Kleberg,TEXAS,48273,27.3983129, -97.7485096,2,0
Kerr,TEXAS,48265,30.045717, -99.3884839,2,0
Karnes,TEXAS,48255,28.8791858, -97.9062893,2,0
Jones,TEXAS,48253,32.7135946, -99.8606106,2,0
Jim Wells,TEXAS,48249,27.8067733, -98.1084601,2,0
Hamilton,TEXAS,48193,31.6429346, -97.9715967,2,0
Gonzales,TEXAS,48177,29.4436555, -97.5108636,2,0
Gaines,TEXAS,48165,32.7044935, -102.6220553,2,0
Crane,TEXAS,48103,31.4486118, -102.5163544,2,0
Clay,TEXAS,48077,33.6856157, -98.2123296,2,0
Bee,TEXAS,48025,28.3871179, -97.7191838,2,0
Bandera,TEXAS,48019,29.7643475, -99.234526,2,0
Aransas,TEXAS,48007,28.1987876, -96.947708,2,0
Winkler,TEXAS,48495,31.8005913, -103.0762299,1,0
Stephens,TEXAS,48429,32.6944793, -98.8200722,1,0
Rains,TEXAS,48379,32.8685085, -95.7964017,1,0
Pecos,TEXAS,48371,30.7857437, -102.8065415,1,0
Motley,TEXAS,48345,34.0395459, -100.7744062,1,0
Mitchell,TEXAS,48335,32.2898049, -100.9213003,1,0
Mason,TEXAS,48319,30.705029, -99.2233284,1,0
Lamb,TEXAS,48279,34.0321667, -102.3429233,1,0
Knox,TEXAS,48275,33.5871385, -99.7073621,1,0
Jack,TEXAS,48237,33.2127019, -98.1639199,1,0
Howard,TEXAS,48227,32.3047833, -101.4271085,1,1
Hemphill,TEXAS,48211,35.8293476, -100.2564532,1,0
Hansford,TEXAS,48195,36.2563401, -101.3621472,1,0
Gillespie,TEXAS,48171,30.2954086, -98.9086643,1,0
Frio,TEXAS,48163,28.8352831, -99.1226618,1,0
Franklin,TEXAS,48159,33.155212, -95.2255189,1,0
Floyd,TEXAS,48153,34.0266015, -101.2765537,1,0
Falls,TEXAS,48145,31.2320941, -96.9262126,1,0
Dimmit,TEXAS,48127,28.3821949, -99.7178226,1,0
Dickens,TEXAS,48125,33.6170056, -100.7614115,1,0
Delta,TEXAS,48119,33.3926893, -95.6749486,1,0
Dallam,TEXAS,48111,36.3127064, -102.616685,1,0
Crosby,TEXAS,48107,33.5778818, -101.2855737,1,0
Cooke,TEXAS,48097,33.582486, -97.2055298,1,0
Concho,TEXAS,48095,31.3102947, -99.8507578,1,0
Callahan,TEXAS,48059,32.2810409, -99.3612437,1,0
