County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Anderson,Texas,48001,31.81534745,-95.65354823,18,0,0
Andrews,Texas,48003,32.30468633,-102.63765479999999,19,0,0
Angelina,Texas,48005,31.25457347,-94.60901487,33,0,0
Aransas,Texas,48007,28.10556197,-96.9995047,2,0,0
Armstrong,Texas,48011,34.96507426,-101.35748740000001,1,0,0
Atascosa,Texas,48013,28.89333001,-98.52730485,14,1,0
Austin,Texas,48015,29.88548725,-96.27736949,12,0,0
Bandera,Texas,48019,29.74619598,-99.24598147,4,0,0
Bastrop,Texas,48021,30.10370699,-97.31206354,57,2,0
Bee,Texas,48025,28.41761668,-97.74215593,6,0,0
Bell,Texas,48027,31.03736027,-97.4785025,161,3,0
Bexar,Texas,48029,29.44928723,-98.52019748,1334,43,0
Blanco,Texas,48031,30.26640707,-98.3999852,6,0,0
Bosque,Texas,48035,31.89978581,-97.63613524,3,0,0
Bowie,Texas,48037,33.44626922,-94.41834132,67,1,0
Brazoria,Texas,48039,29.18757369,-95.44563172,417,3,0
Brazos,Texas,48041,30.663644800000004,-96.30205577,181,16,0
Brooks,Texas,48047,27.03103197,-98.21808402,1,0,0
Brown,Texas,48049,31.77430356,-98.99907113,17,1,0
Burleson,Texas,48051,30.49273808,-96.62158484,11,0,0
Burnet,Texas,48053,30.78801353,-98.181887,14,0,0
Caldwell,Texas,48055,29.83668859,-97.61814775,10,0,0
Calhoun,Texas,48057,28.47048236,-96.61633945,23,2,0
Callahan,Texas,48059,32.29760619,-99.37326312,1,0,0
Cameron,Texas,48061,26.14524221,-97.48140372,344,14,0
Camp,Texas,48063,32.97195142,-94.97790104,6,0,0
Carson,Texas,48065,35.40365929,-101.35426690000001,1,0,0
Cass,Texas,48067,33.07499881,-94.34646905,13,0,0
Castro,Texas,48069,34.53016752,-102.2617243,13,1,0
Chambers,Texas,48071,29.70972016,-94.67154501,41,0,0
Cherokee,Texas,48073,31.837258000000002,-95.16559897,12,1,0
Childress,Texas,48075,34.529304100000004,-100.2077916,1,0,0
Clay,Texas,48077,33.78686685,-98.20771198,3,0,0
Cochran,Texas,48079,33.60425307,-102.82844990000001,1,0,0
Coleman,Texas,48083,31.76736834,-99.45240766,1,0,0
