County,State,fips,Latitude,Longitude,Confirmed Cases
Bear River,UTAH,None,41.5213857,-111.1204493,49
Central Utah,UTAH,None,40.0841662,-111.6259473,6
Davis County,UTAH,49011,41.0263758,-112.1197426,204
Salt Lake County,UTAH,49035,40.6632297,-111.9103124,1,157
San Juan,UTAH,49037,37.5859438,-109.7852018,9
Southeast Utah,UTAH,None,40.0841662,-111.6259473,5
Southwest Utah,UTAH,None,40.0841662,-111.6259473,57
Summit County,UTAH,49043,40.8320852,-111.1233396,306
Tooele County,UTAH,49045,40.4062872,-113.1966394,34
Tri County,UTAH,None,35.590348,-88.0583657,8
Utah County,UTAH,49049,40.0841662,-111.6259473,322
Wasatch County,UTAH,49051,40.3348338,-111.1186992,103
Weber-Morgan county,UTAH,None,41.1312091,-111.7960378,103
