County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,WISCONSIN,55001,43.9462246, -89.7836456,4,1
Ashland,WISCONSIN,55003,46.2062319, -90.6802594,2,0
Barron,WISCONSIN,55005,45.423557, -91.8454099,6,0
Bayfield,WISCONSIN,55007,46.4710241, -91.1983175,3,1
Brown,WISCONSIN,55009,44.4383498, -88.0167093,285,1
Buffalo,WISCONSIN,55011,44.4073658, -91.7547858,4,1
Burnett,WISCONSIN,55013,45.8652437, -92.2673161,0,0
Calumet,WISCONSIN,55015,44.0751086, -88.2144321,6,0
Chippewa,WISCONSIN,55017,45.0740585, -91.2947258,20,0
Clark,WISCONSIN,55019,44.7188146, -90.6214928,16,1
Columbia,WISCONSIN,55021,43.4641929, -89.3478429,27,1
Crawford,WISCONSIN,55023,43.2271639, -90.8938474,3,0
Dane,WISCONSIN,55025,43.0709273, -89.4322174,364,19
Dodge,WISCONSIN,55027,43.413614, -88.7177834,19,1
Door,WISCONSIN,55029,44.7615925, -87.5329747,9,1
Douglas,WISCONSIN,55031,46.4396038, -91.9059158,8,0
Dunn,WISCONSIN,55033,44.9333564, -91.8994409,9,0
Eau Claire,WISCONSIN,55035,44.7257643, -91.3040313,22,0
Florence,WISCONSIN,55037,45.8379973, -88.3902943,2,0
Fond du Lac,WISCONSIN,55039,43.7533414, -88.4493796,65,3
Forest,WISCONSIN,55041,45.625108, -88.806738,0,0
Grant,WISCONSIN,55043,42.8855277, -90.6991696,23,3
Green,WISCONSIN,55045,42.6791433, -89.6076428,9,0
Green Lake,WISCONSIN,55047,43.7971612, -89.0402508,1,0
Iowa,WISCONSIN,55049,42.9732457, -90.1334393,6,0
Iron,WISCONSIN,55051,46.2254778, -90.2125304,2,1
Jackson,WISCONSIN,55053,44.3016847, -90.8085198,12,1
Jefferson,WISCONSIN,55055,43.0224668, -88.7673031,32,0
Juneau,WISCONSIN,55057,43.9532381, -90.1218405,10,1
Kenosha,WISCONSIN,55059,42.5729233, -88.0679837,257,5
Kewaunee,WISCONSIN,55061,44.521282, -87.6301086,8,1
La Crosse,WISCONSIN,55063,43.8890516, -91.0902393,25,0
Lafayette,WISCONSIN,55065,42.6632391, -90.1317754,3,0
Langlade,WISCONSIN,55067,45.2728122, -89.067113,0,0
Lincoln,WISCONSIN,55069,45.3265631, -89.7326216,0,0
Manitowoc,WISCONSIN,55071,44.0998341, -87.827992,7,0
Marathon,WISCONSIN,55073,44.8914036, -89.7748098,17,1
Marinette,WISCONSIN,55075,45.3834983, -88.0409574,5,1
Marquette,WISCONSIN,55077,43.8122244, -89.3926785,3,1
Menominee,WISCONSIN,55078,45.0154357, -88.7089153,1,0
Milwaukee,WISCONSIN,55079,43.0180325, -87.9740873,2191,132
Monroe,WISCONSIN,55081,43.9416755, -90.6397264,13,0
Oconto,WISCONSIN,55083,44.9988053, -88.2480072,5,0
Oneida,WISCONSIN,55085,45.6879163, -89.4779558,6,0
Outagamie,WISCONSIN,55087,44.41603, -88.4602005,35,2
Ozaukee,WISCONSIN,55089,43.3569041, -87.9579748,80,9
Pepin,WISCONSIN,55091,44.6351571, -92.0101928,0,0
Pierce,WISCONSIN,55093,44.7186568, -92.3786114,7,0
Polk,WISCONSIN,55095,45.4318573, -92.407472,4,0
Portage,WISCONSIN,55097,44.4604931, -89.5108818,4,0
Price,WISCONSIN,55099,45.676627, -90.368792,1,0
Racine,WISCONSIN,55101,42.729386, -88.0429806,174,10
Richland,WISCONSIN,55103,43.3662526, -90.4557081,8,1
Rock,WISCONSIN,55105,42.6654418, -89.081772,80,4
Rusk,WISCONSIN,55107,45.4589749, -91.1240967,4,0
Sauk,WISCONSIN,55111,43.4401728, -89.9653841,34,3
Sawyer,WISCONSIN,55113,45.8731634, -91.1468287,2,0
Shawano,WISCONSIN,55115,44.7817214, -88.7118868,6,0
Sheboygan,WISCONSIN,55117,43.7128967, -87.9370433,43,2
St. Croix,WISCONSIN,55109,45.0312388, -92.4679305,11,0
Taylor,WISCONSIN,55119,45.2057106, -90.4915874,0,0
Trempealeau,WISCONSIN,55121,44.2782406, -91.3828806,1,0
Vernon,WISCONSIN,55123,43.5811229, -90.8231247,0,0
Vilas,WISCONSIN,55125,46.0382686, -89.4734462,4,0
Walworth,WISCONSIN,55127,42.66775, -88.5412929,86,6
Washburn,WISCONSIN,55129,45.8926321, -91.7971652,1,0
Washington,WISCONSIN,55131,43.3734986, -88.2370888,86,3
Waukesha,WISCONSIN,55133,43.0622536, -88.3123889,269,11
Waupaca,WISCONSIN,55135,44.4927889, -88.9650419,4,1
Waushara,WISCONSIN,55137,44.1103406, -89.2347222,2,0
Winnebago,WISCONSIN,55139,44.0697014, -88.6516527,41,1
Wood,WISCONSIN,55141,44.4517617, -90.0199618,2,0
