Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,           Active Cases,Serious/Critical,Total Tested
USA,1152328,21298,66921 ,1168,170179,915228,16481,6888582
Spain,245567,2588,25100 ,276,146233,74234,2386,1528833
Italy,209328,1900,28710 ,474,79914,100704,1539,2108837
UK,182260,4806,28131 ,621,N/A,153785,1559,1129907
France,168396,1050,24760 ,166,50562,93074,3827,1100228
Germany,164602,525,6755 ,19,129000,28847,2105,2547052
Turkey,124375,1983,3336 ,78,58259,62780,1445,1111366
Russia,124054,9623,1222 ,53,15013,107819,2300,3945518
Iran,96448,802,6156 ,65,77350,12942,2787,484541
Brazil,92865,756,6491 ,81,38039,48335,8318,339552
Canada,56580,1519,3560 ,169,23316,29704,557,832222
Belgium,49517,485,7765 ,62,12211,29541,689,260996
Peru,42534,2075,1200 ,76,12434,28900,671,355604
Netherlands,40236,445,4987 ,94,N/A,34999,708,225899
India,39699,2442,1323 ,100,10819,27557,,976363
Switzerland,29817,112,1762 ,8,23900,4155,141,276000
Ecuador,27464,1128,1371 ,308,2132,23961,149,73929
Saudi Arabia,25459,1362,176 ,7,3765,21518,139,339775
Portugal,25190,203,1023 ,16,1671,22496,150,426836
Sweden,22082,562,2669 ,16,1005,18408,531,119500
Ireland,21176,343,1286 ,21,13386,6504,99,169377
Mexico,20739,1515,1972 ,113,12377,6390,378,91188
Pakistan,19022,930,437 ,20,4753,13832,111,193859
Chile,18435,1427,247 ,13,9572,8616,425,199400
Singapore,17548,447,17 ,1,1347,16184,24,143919
Israel,16185,84,229 ,4,9593,6363,105,390022
Belarus,15828,911,97 ,4,3117,12614,92,195430
Austria,15558,27,596 ,7,13180,1782,114,269619
Qatar,14872,776,12 ,,1534,13326,72,101728
Japan,14305,,455 ,,2975,10875,328,174150
UAE,13599,561,119 ,8,2664,10816,1,1200000
Poland,13375,270,664 ,13,3762,8949,160,366013
Romania,12732,165,771 ,27,4547,7414,265,190540
Ukraine,11411,550,279 ,7,1498,9634,151,122752
Indonesia,10843,292,831 ,31,1665,8347,,107943
S. Korea,10780,6,250 ,2,9123,1407,55,623069
Denmark,9407,96,475 ,15,6889,2043,60,221912
Serbia,9362,157,189 ,4,1426,7747,57,96637
Philippines,8928,156,603 ,24,1124,7201,31,115012
Bangladesh,8790,552,175 ,5,177,8438,1,76066
Norway,7801,18,211 ,1,32,7558,37,172586
Czechia,7750,13,245 ,5,3446,4059,67,253826
Dominican Republic,7578,290,326 ,13,1481,5771,144,30102
Colombia,7006,,314 ,,1551,5141,118,108950
Australia,6783,16,93 ,,5789,901,28,611583
Panama,6720,188,192 ,4,622,5906,85,31895
South Africa,6336,385,123 ,7,2549,3664,36,230686
Egypt,6193,298,415 ,9,1522,4256,,90000
Malaysia,6176,105,103 ,,4326,1747,31,184213
Finland,5176,125,220 ,2,3000,1956,52,101800
Morocco,4729,160,173 ,2,1256,3300,1,39367
Kuwait,4619,242,33 ,3,1703,2883,69,179000
Argentina,4532,,229 ,4,1320,2983,157,63866
Algeria,4295,141,459 ,6,1872,1964,22,6500
Moldova,4052,72,124 ,2,1334,2594,237,11763
Kazakhstan,3857,260,25 ,,985,2847,41,282862
Luxembourg,3812,10,92 ,,3318,402,23,47460
Bahrain,3284,114,8 ,,1568,1708,1,139354
Thailand,2966,6,54 ,,2732,180,61,178083
Hungary,2942,79,335 ,12,625,1982,52,79551
Greece,2620,8,143 ,3,1374,1103,37,78207
Oman,2483,36,12 ,1,750,1721,17,40459
Afghanistan,2469,134,72 ,4,331,2066,7,11068
Armenia,2273,125,33 ,,1010,1230,10,23142
Iraq,2219,66,95 ,1,1473,651,,98253
Nigeria,2170,,68 ,,351,1751,2,16588
Ghana,2169,95,18 ,1,229,1922,4,113497
Uzbekistan,2118,32,9 ,,1271,838,8,242536
Croatia,2088,3,77 ,2,1463,548,17,37557
Cameroon,2077,245,64 ,3,953,1060,12,
Azerbaijan,1894,40,25 ,,1411,458,17,152597
Bosnia and Herzegovina,1839,58,72 ,2,779,988,4,32783
Iceland,1798,,10 ,,1706,82,,50002
Estonia,1699,5,53 ,1,256,1390,7,54464
Cuba,1611,74,66 ,2,765,780,10,51506
Bulgaria,1594,39,72 ,4,287,1235,43,47636
Guinea,1537,,7 ,,342,1188,,
North Macedonia,1506,12,82 ,1,852,572,21,16997
New Zealand,1485,6,20 ,1,1263,202,,145589
Slovenia,1439,5,94 ,2,239,1106,21,55020
Slovakia,1407,4,24 ,1,608,775,5,94770
Lithuania,1406,7,46 ,1,632,728,17,138270
Ivory Coast,1333,,15 ,,597,721,,10073
Bolivia,1229,62,66 ,4,134,1029,3,5791
Senegal,1115,91,9 ,,368,738,1,466
Djibouti,1112,15,2 ,,686,424,,13856
Hong Kong,1040,,4 ,,864,172,4,154989
Tunisia,998,,41 ,,316,641,24,23526
Honduras,899,95,75 ,,112,712,10,3643
Latvia,871,1,16 ,,348,507,2,63102
Cyprus,864,7,15 ,,296,553,15,62267
Albania,789,7,31  ,,519,239,4,8669
Kyrgyzstan,769,13,8 ,,527,234,12,51472
Andorra,747,2,44 ,1,472,231,17,1673
Lebanon,733,4,25 ,1,197,511,43,37880
Costa Rica,733,8,6 ,,372,355,6,13632
Niger,728,,33 ,,478,217,,5230
Diamond Princess,712,,13 ,,645,54,4,
Sri Lanka,702,12,7 ,,172,523,1,23525
Somalia,671,70,31 ,3,34,606,2,
Burkina Faso,649,,44 ,,517,88,,
Uruguay,648,,17 ,,435,196,10,20554
Guatemala,644,45,16 ,,72,556,5,7200
DRC,604,,32 ,,75,497,,
Georgia,582,16,8 ,1,207,367,6,15904
San Marino,580,,41 ,,83,456,5,2397
Mali,544,36,26 ,,206,312,,2172
Channel Islands,543,5,41 ,,406,96,,5342
Mayotte,539,,4 ,,235,300,4,3000
Sudan,533,91,36 ,5,46,451,,
Maldives,514,23,1 ,,17,496,2,8008
Tanzania,480,,16 ,,167,297,7,
Malta,468,1,4 ,,379,85,1,35117
Jordan,460,1,9 ,1,367,84,5,82092
El Salvador,446,22,10 ,,141,295,2,26961
Kenya,435,24,22 ,1,152,261,2,21702
Jamaica,432,10,8 ,,31,393,1,4779
Taiwan,432,3,6 ,,324,102,,63713
Réunion,422,, ,,300,122,2,
Palestine,353,,2 ,,76,275,,32200
Venezuela,345,10,10 ,,148,187,2,477790
Paraguay,333,67,10 ,,115,208,5,10342
Mauritius,332,,10 ,,314,8,3,16028
