County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries,Released from Isolation,Hospitalized
Anchor Point,ALASKA,03110,59.76826, -151.677552,1
Bethel,ALASKA,06520,60.7922222, -161.7558333,1
Chugiak (Anchorage),ALASKA,14440,61.3904227, -149.4817876,4
Craig,ALASKA,02201,55.4763889, -133.1483333,2
Delta Junction,ALASKA,18620,64.0373478, -145.7321572,1
Eagle River (Anchorage),ALASKA,20490,61.31351, -149.6941565,7
Fairbanks/North Pole,ALASKA,02090,64.837845, -147.716675,78
Girdwood (Anchorage),ALASKA,02020,60.9425, -149.1663889,144
Homer,ALASKA,33140,59.6440876, -151.5401477,2
Juneau,ALASKA,02110,58.3019496, -134.419734,24
Kenai,ALASKA,02122,60.5544444, -151.2583333,4
Ketchikan,ALASKA,02130,55.3430696, -131.6466819,15
Palmer,ALASKA,02170,61.5995703, -149.1110902,9
Petersburg,ALASKA,02195,56.8127965, -132.95547,3
Seward,ALASKA,68560,60.104202, -149.4426113,3
Soldotna,ALASKA,71640,60.4847228, -151.0653495,6
Sterling,ALASKA,73070,60.536235, -150.8564776,3
Yukon-Koyukuk Census Area,ALASKA,02290,65.2266005, -153.5472287,1
Wasilla,ALASKA,83080,61.5824216, -149.4425638,10
Aleutians East,ALASKA,02013,,,
Aleutians West,ALASKA,02016,,,
Denali,ALASKA,02068,,,
Dillingham,ALASKA,02070,,,
Haines,ALASKA,02100,,,
Kodiak Island,ALASKA,02150,1,,
Lake and Peninsula,ALASKA,02164,,,
Nome,ALASKA,02180,,,1
Northwest Attic,ALASKA,02188,,,
Sitka,ALASKA,02220,,,
Skagway,ALASKA,02230,,,
Valdez-Cordova,ALASKA,02261,,,
Kusilvak,ALASKA,02158,,,
Wrangell,ALASKA,02275,,,
Yakutat,ALASKA,02282,,,
Autauga,ALABAMA,01001,32.5165255, -86.6319403,28,1
Baldwin,ALABAMA,01003,30.5677527, -87.7324392,117,1
Barbour,ALABAMA,01005,31.8589311, -85.4032078,22,0
Bibb,ALABAMA,01007,32.971079, -87.1227088,32,0
Blount,ALABAMA,01009,33.9510169, -86.5702002,22,0
Bullock,ALABAMA,01011,32.09929, -85.7091657,11,0
Butler,ALABAMA,01013,32.0895908, -88.2219652,14,0
Calhoun,ALABAMA,01015,33.7514505, -85.8315666,80,2
Chambers,ALABAMA,01017,32.8901658, -85.3866953,257,11
Cherokee,ALABAMA,01019,34.1142554, -85.6004514,12,0
Chilton,ALABAMA,01021,32.8522565, -86.7032845,43,0
Choctaw,ALABAMA,01023,31.9908095, -88.2821326,17,0
Clarke,ALABAMA,01025,31.659134, -87.8192486,24,0
Clay,ALABAMA,01027,33.6999039, -86.6019841,19,0
Cleburne,ALABAMA,01029,33.6506958, -85.5017359,12,0
Coffee,ALABAMA,01031,31.3629619, -85.9870669,64,0
Colbert,ALABAMA,01033,34.6473396, -87.7921769,16,1
Conecuh,ALABAMA,01035,31.3966783, -86.9437104,9,0
Coosa,ALABAMA,01037,32.9181762, -86.2327497,23,1
Covington,ALABAMA,01039,31.196549, -86.4597236,24,0
Crenshaw,ALABAMA,01041,31.6809362, -86.3244009,6,0
Cullman,ALABAMA,01043,34.1335332, -86.8779268,44,0
Dale,ALABAMA,01045,31.3940969, -85.623763,21,0
Dallas,ALABAMA,01047,32.3117968, -87.1046643,26,2
DeKalb,ALABAMA,01049,34.4524349, -85.7662118,46,2
Elmore,ALABAMA,01051,32.5801231, -86.125195,68,1
Escambia,ALABAMA,01053,31.1168422, -87.1070947,16,0
Etowah,ALABAMA,01055,34.0371404, -86.022147,100,7
Fayette,ALABAMA,01057,33.7303493, -87.7419088,3,0
Franklin,ALABAMA,01059,34.440962, -87.8339064,18,0
Geneva,ALABAMA,01061,31.0862933, -85.803014,4,0
Greene,ALABAMA,01063,32.8620514, -87.9915392,32,0
Hale,ALABAMA,01065,32.7412417, -87.6561668,31,1
Henry,ALABAMA,01067,31.4838041, -85.2447377,18,0
Houston,ALABAMA,01069,31.1355603, -85.2654592,70,1
Jackson,ALABAMA,01071,34.7692447, -85.9867941,39,2
Jefferson,ALABAMA,01073,33.5228184, -86.9164513,688,15
Lamar,ALABAMA,01075,33.7490016, -88.1003689,9,0
Lauderdale,ALABAMA,01077,34.9049555, -87.6747398,24,2
Lawrence,ALABAMA,01079,34.4776367, -87.3017331,10,0
Lee,ALABAMA,01081,32.5814796, -85.3077038,311,11
Limestone,ALABAMA,01083,34.8342463, -86.9901321,40,0
Lowndes,ALABAMA,01085,32.1088066, -86.6402541,31,0
Macon,ALABAMA,01087,32.366606, -85.6660307,26,2
Madison,ALABAMA,01089,34.7736807, -86.5675095,202,4
