County,State,fips,Latitude,Longitude
Aleutians East Borough,ALASKA,02013,55.05,-162.89
Anchorage,ALASKA,02020,61.21,-149.89
Bristol Bay Borough,ALASKA,02060,58.74,-156.87
Denali Borough,ALASKA,02068,63.87,-149.65
Fairbanks North Star Borough,ALASKA,02090,64.86,-146.77
Haines Borough,ALASKA,02100,59.08,-135.34
Juneau,ALASKA,02110,58.3,-134.41
Kenai Peninsula Borough,ALASKA,02122,60.1,-151.79
Ketchikan Gateway Borough,ALASKA,02130,55.48,-131.01
Kodiak Island Borough,ALASKA,02150,57.54,-153.36
Lake and Peninsula Borough,ALASKA,02164,58.32,-156.15
Matanuska-Susitna Borough,ALASKA,02170,62.34,-149.47
North Slope Borough,ALASKA,02185,69.53,-153.82
Northwest Arctic Borough,ALASKA,02188,67.23,-159.98
Petersburg Borough,ALASKA,02195,56.75,-133.45
Sitka,ALASKA,02220,57.05,-135.33
Skagway,ALASKA,02230,59.62,-135.41
Wrangell,ALASKA,02275,56.47,-132.37
Yakutat,ALASKA,02282,59.63,-139.34
Aleutians West Census Area,ALASKA,02016,51.57,178.87
Bethel Census Area,ALASKA,02050,60.39,-162.31
Chugach Census Area,ALASKA,02261,64,-150
Copper River Census Area,ALASKA,0,64,-150
Dillingham Census Area,ALASKA,02070,59.9,-158.2
Hoonah Angoon Census Burough,ALASKA,0,58.06,-135.69
Kusilvak Census Area,ALASKA,02158,62.2,-163.76
Nome Census Area,ALASKA,02180,65,-163.09
Prince of Wales-Hyder Census Area,ALASKA,02198,55.51,-133
Southeast Fairbanks Census Area,ALASKA,02240,63.84,-143.98
Yukon-Koyukuk Census Area,ALASKA,02290,65.22,-153.54
Autauga,ALABAMA,01001,32.52,-86.63
Baldwin,ALABAMA,01003,30.57,-87.73
Barbour,ALABAMA,01005,31.86,-85.4
Bibb,ALABAMA,01007,32.97,-87.12
Blount,ALABAMA,01009,33.95,-86.57
Bullock,ALABAMA,01011,32.1,-85.71
Butler,ALABAMA,01013,32.09,-88.22
Calhoun,ALABAMA,01015,33.75,-85.83
Chambers,ALABAMA,01017,32.89,-85.39
Cherokee,ALABAMA,01019,34.11,-85.6
Chilton,ALABAMA,01021,32.85,-86.7
Choctaw,ALABAMA,01023,31.99,-88.28
Clarke,ALABAMA,01025,31.66,-87.82
Clay,ALABAMA,01027,33.7,-86.6
Cleburne,ALABAMA,01029,33.65,-85.5
Coffee,ALABAMA,01031,31.36,-85.99
Colbert,ALABAMA,01033,34.65,-87.79
Conecuh,ALABAMA,01035,31.4,-86.94
Coosa,ALABAMA,01037,32.92,-86.23
Covington,ALABAMA,01039,31.2,-86.46
Crenshaw,ALABAMA,01041,31.68,-86.32
Cullman,ALABAMA,01043,34.13,-86.88
Dale,ALABAMA,01045,31.39,-85.62
Dallas,ALABAMA,01047,32.31,-87.1
DeKalb,ALABAMA,01049,34.45,-85.77
Elmore,ALABAMA,01051,32.58,-86.12
Escambia,ALABAMA,01053,31.12,-87.11
Etowah,ALABAMA,01055,34.04,-86.02
Fayette,ALABAMA,01057,33.73,-87.74
Franklin,ALABAMA,01059,34.44,-87.83
Geneva,ALABAMA,01061,31.09,-85.8
Greene,ALABAMA,01063,32.86,-87.99
Hale,ALABAMA,01065,32.74,-87.66
Henry,ALABAMA,01067,31.48,-85.24
Houston,ALABAMA,01069,31.14,-85.26
Jackson,ALABAMA,01071,34.77,-85.99
Jefferson,ALABAMA,01073,33.52,-86.92
Lamar,ALABAMA,01075,33.75,-88.1
Lauderdale,ALABAMA,01077,34.9,-87.68
Lawrence,ALABAMA,01079,34.48,-87.3
Lee,ALABAMA,01081,32.58,-85.31
Limestone,ALABAMA,01083,34.83,-86.99
Lowndes,ALABAMA,01085,32.11,-86.64
Macon,ALABAMA,01087,32.37,-85.67
Madison,ALABAMA,01089,34.77,-86.57
Marengo,ALABAMA,01091,32.2,-87.76
Marion,ALABAMA,01093,34.11,-87.85
Marshall,ALABAMA,01095,34.34,-86.33
Mobile,ALABAMA,01097,30.69,-88.04
Monroe,ALABAMA,01099,31.56,-87.38
Montgomery,ALABAMA,01101,32.37,-86.3
Morgan,ALABAMA,01103,34.43,-86.85
Perry,ALABAMA,01105,32.64,-87.29
Pickens,ALABAMA,01107,33.3,-88.12
Pike,ALABAMA,01109,33.26,-86.83
Randolph,ALABAMA,01111,33.26,-85.47
Russell,ALABAMA,01113,32.27,-85.2
St. Clair,ALABAMA,01115,33.71,-86.34
Shelby,ALABAMA,01117,33.25,-86.66
Sumter,ALABAMA,01119,32.52,-88.18
Talladega,ALABAMA,01121,33.4,-86.16
Tallapoosa,ALABAMA,01123,32.86,-85.8
Tuscaloosa,ALABAMA,01125,33.21,-87.57
Walker,ALABAMA,01127,33.78,-87.28
Washington,ALABAMA,01129,31.4,-88.2
Wilcox,ALABAMA,01131,31.95,-87.3
Winston,ALABAMA,01133,34.13,-87.36
Unknown or Out of State,ALABAMA,None,32.75,-86.75
Arkansas,Arkansas,05001,34.29,-91.37
Ashley,Arkansas,05003,33.19,-91.77
Baxter,Arkansas,05005,36.29,-92.34
Benton,Arkansas,05007,36.34,-94.26
Boone,Arkansas,05009,36.31,-93.09
Bradley,Arkansas,05011,33.47,-92.16
Carroll,Arkansas,05015,36.34,-93.54
Chicot,Arkansas,05017,33.26,-91.3
Clark,Arkansas,05019,34.05,-93.18
Clay,Arkansas,05021,36.37,-90.42
Cleburne,Arkansas,05023,35.54,-92.03
Cleveland,Arkansas,05025,33.9,-92.18
Columbia,Arkansas,05027,33.21,-93.23
Conway,Arkansas,05029,35.26,-92.7
Craighead,Arkansas,05031,35.83,-90.63
Crawford,Arkansas,05033,35.59,-94.24
Crittenden,Arkansas,05035,35.21,-90.31
Cross,Arkansas,05037,35.3,-90.77
Dallas,Arkansas,05039,33.97,-92.65
Desha,Arkansas,05041,33.83,-91.26
Drew,Arkansas,05043,33.59,-91.72
Faulkner,Arkansas,05045,35.15,-92.34
Franklin,Arkansas,05047,35.51,-93.89
Fulton,Arkansas,05049,36.38,-91.82
Garland,Arkansas,05051,34.58,-93.15
Grant,Arkansas,05053,34.29,-92.42
Greene,Arkansas,05055,36.12,-90.56
Hempstead,Arkansas,05057,33.73,-93.67
Hot Spring,Arkansas,05059,34.32,-92.95
Howard,Arkansas,05061,34.09,-93.99
Independence,Arkansas,05063,35.74,-91.57
Izard,Arkansas,05065,36.1,-91.91
Jackson,Arkansas,05067,35.6,-91.22
Jefferson,Arkansas,05069,34.27,-91.93
Johnson,Arkansas,05071,35.57,-93.46
